Gene	0bp	100bp	250bp	500bp	750bp	1000bp	1500bp	2000bp	3000bp	4000bp	5000bp	7500bp	10000bp	up_0bp	up_100bp	up_250bp	up_500bp	up_750bp	up_1000bp	up_1500bp	up_2000bp	up_3000bp	up_4000bp	up_5000bp	up_7500bp	up_10000bp	down_0bp	down_100bp	down_250bp	down_500bp	down_750bp	down_1000bp	down_1500bp	down_2000bp	down_3000bp	down_4000bp	down_5000bp	down_7500bp	down_10000bp
ID=AT2G04890.Araport11.447;Name=AT2G04890										3.0	5.0	7.0	11.0												2.0	5.0										3.0	5.0	5.0	6.0
ID=AT2G36670.Araport11.447;Name=AT2G36670									1.0	2.0	2.0	2.0	2.0									1.0	2.0	2.0	2.0	2.0													
ID=AT2G07659.Araport11.447;Name=AT2G07659				1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0				1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0											1.0	1.0	1.0
ID=AT2G17036.Araport11.447;Name=AT2G17036																																							
ID=AT2G24320.Araport11.447;Name=AT2G24320											2.0	3.0	3.0											2.0	2.0	2.0												1.0	1.0
ID=AT2G24600.Araport11.447;Name=AT2G24600												2.0	2.0												2.0	2.0													
ID=AT2G05230.Araport11.447;Name=AT2G05230		1.0	2.0	3.0	3.0	4.0	4.0	4.0	6.0	6.0	9.0	9.0	12.0		1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	6.0	6.0	8.0			1.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0
ID=AT2G15185.Araport11.447;Name=AT2G15185	1.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	5.0	5.0	5.0	11.0	18.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	11.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	7.0	8.0
ID=AT2G40475.Araport11.447;Name=AT2G40475																																							
ID=AT2G48060.Araport11.447;Name=AT2G48060													3.0													3.0													
ID=AT2G41770.Araport11.447;Name=AT2G41770												2.0	2.0																									2.0	2.0
ID=AT2G01150.Araport11.447;Name=AT2G01150				1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0																	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0
ID=AT2G33380.Araport11.447;Name=AT2G33380																																							
ID=AT2G29480.Araport11.447;Name=AT2G29480																																							
ID=AT2G39890.Araport11.447;Name=AT2G39890																																							
ID=AT2G42770.Araport11.447;Name=AT2G42770																																							
ID=AT2G20815.Araport11.447;Name=AT2G20815												1.0	1.0																									1.0	1.0
ID=AT2G45940.Araport11.447;Name=AT2G45940																																							
ID=AT2G25685.Araport11.447;Name=AT2G25685							1.0	1.0	1.0	1.0	1.0	5.0	5.0																				1.0	1.0	1.0	1.0	1.0	5.0	5.0
ID=AT2G22980.Araport11.447;Name=AT2G22980		1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0															1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G31870.Araport11.447;Name=AT2G31870													1.0																										1.0
ID=AT2G21185.Araport11.447;Name=AT2G21185						2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0						2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0													
ID=AT2G29470.Araport11.447;Name=AT2G29470																																							
ID=AT2G30500.Araport11.447;Name=AT2G30500																																							
ID=AT2G27315.Araport11.447;Name=AT2G27315								1.0	1.0	1.0	1.0	2.0	2.0																					1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G16300.Araport11.447;Name=AT2G16300								1.0	1.0	2.0	6.0	12.0	13.0								1.0	1.0	2.0	5.0	11.0	12.0											1.0	1.0	1.0
ID=AT2G38720.Araport11.447;Name=AT2G38720																																							
ID=AT2G47170.Araport11.447;Name=AT2G47170																																							
ID=AT2G43130.Araport11.447;Name=AT2G43130																																							
ID=AT2G20890.Araport11.447;Name=AT2G20890										1.0	1.0	1.0	1.0																							1.0	1.0	1.0	1.0
ID=AT2G34185.Araport11.447;Name=AT2G34185	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G17110.Araport11.447;Name=AT2G17110		1.0	1.0	1.0	1.0	2.0	4.0	7.0	12.0	12.0	12.0	12.0	16.0						1.0	3.0	6.0	9.0	9.0	9.0	9.0	13.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0
ID=AT2G40205.Araport11.447;Name=AT2G40205												1.0	1.0												1.0	1.0													
ID=AT2G29525.Araport11.447;Name=AT2G29525																																							
ID=AT2G17450.Araport11.447;Name=AT2G17450	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	6.0	8.0	10.0	14.0	16.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	6.0	7.0	8.0	12.0	14.0
ID=AT2G37060.Araport11.447;Name=AT2G37060													1.0													1.0													
ID=AT2G38440.Araport11.447;Name=AT2G38440																																							
ID=AT2G44340.Araport11.447;Name=AT2G44340											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G03850.Araport11.447;Name=AT2G03850	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	5.0	5.0	5.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0
ID=AT2G18550.Araport11.447;Name=AT2G18550								1.0	1.0	2.0	2.0	2.0	3.0								1.0	1.0	1.0	1.0	1.0	2.0										1.0	1.0	1.0	1.0
ID=AT2G25300.Araport11.447;Name=AT2G25300	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G25120.Araport11.447;Name=AT2G25120												7.0	8.0												6.0	6.0												1.0	2.0
ID=AT2G40220.Araport11.447;Name=AT2G40220						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G16440.Araport11.447;Name=AT2G16440							2.0	2.0	2.0	2.0	2.0	3.0	3.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G30490.Araport11.447;Name=AT2G30490																																							
ID=AT2G29735.Araport11.447;Name=AT2G29735																																							
ID=AT2G37040.Araport11.447;Name=AT2G37040												1.0	1.0												1.0	1.0													
ID=AT2G11620.Araport11.447;Name=AT2G11620							1.0	3.0	6.0	6.0	6.0	7.0	12.0							1.0	1.0	1.0	1.0	1.0	2.0	3.0								2.0	5.0	5.0	5.0	5.0	9.0
ID=AT2G16015.Araport11.447;Name=AT2G16015						1.0	2.0	4.0	7.0	8.0	9.0	11.0	12.0								2.0	2.0	3.0	3.0	4.0	4.0						1.0	2.0	2.0	5.0	5.0	6.0	7.0	8.0
ID=AT2G22570.Araport11.447;Name=AT2G22570		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	4.0	4.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0											1.0	1.0	1.0
ID=AT2G36835.Araport11.447;Name=AT2G36835													1.0													1.0													
ID=AT2G40980.Araport11.447;Name=AT2G40980										1.0	1.0	3.0	5.0												1.0	3.0										1.0	1.0	2.0	2.0
ID=AT2G22830.Araport11.447;Name=AT2G22830								1.0	1.0	1.0	1.0	2.0	4.0													1.0								1.0	1.0	1.0	1.0	2.0	3.0
ID=AT2G42940.Araport11.447;Name=AT2G42940																																							
ID=AT2G35760.Araport11.447;Name=AT2G35760																																							
ID=AT2G36360.Araport11.447;Name=AT2G36360																																							
ID=AT2G03110.Araport11.447;Name=AT2G03110							1.0	1.0	2.0	2.0	5.0	5.0	7.0							1.0	1.0	2.0	2.0	5.0	5.0	7.0													
ID=AT2G34585.Araport11.447;Name=AT2G34585										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G32830.Araport11.447;Name=AT2G32830																																							
ID=AT2G02410.Araport11.447;Name=AT2G02410							1.0	1.0	1.0	1.0	1.0	4.0	4.0							1.0	1.0	1.0	1.0	1.0	3.0	3.0												1.0	1.0
ID=AT2G02850.Araport11.447;Name=AT2G02850		1.0	1.0	2.0	2.0	3.0	4.0	4.0	5.0	5.0	5.0	6.0	6.0															1.0	1.0	2.0	2.0	3.0	4.0	4.0	5.0	5.0	5.0	6.0	6.0
ID=AT2G18020.Araport11.447;Name=AT2G18020				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G30615.Araport11.447;Name=AT2G30615													2.0													2.0													
ID=AT2G07240.Araport11.447;Name=AT2G07240						1.0	3.0	3.0	5.0	8.0	9.0	11.0	14.0						1.0	3.0	3.0	5.0	5.0	5.0	6.0	8.0										3.0	4.0	5.0	6.0
ID=AT2G07738.Araport11.447;Name=AT2G07738											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT2G32785.Araport11.447;Name=AT2G32785					1.0	1.0	1.0	1.0	1.0	3.0	3.0	6.0	6.0																		1.0	1.0	1.0	1.0	1.0	3.0	3.0	6.0	6.0
ID=AT2G24230.Araport11.447;Name=AT2G24230													1.0																										1.0
ID=AT2G39420.Araport11.447;Name=AT2G39420																																							
ID=AT2G17870.Araport11.447;Name=AT2G17870							1.0	2.0	3.0	3.0	3.0	3.0	3.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0								1.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G11910.Araport11.447;Name=AT2G11910							1.0	3.0	6.0	6.0	7.0	11.0	15.0							1.0	3.0	3.0	3.0	4.0	5.0	6.0									3.0	3.0	3.0	6.0	9.0
ID=AT2G34910.Araport11.447;Name=AT2G34910																																							
ID=AT2G28290.Araport11.447;Name=AT2G28290									1.0	1.0	1.0	1.0	1.0																						1.0	1.0	1.0	1.0	1.0
ID=AT2G27100.Araport11.447;Name=AT2G27100												1.0	1.0												1.0	1.0													
ID=AT2G25730.Araport11.447;Name=AT2G25730					1.0	1.0	1.0	1.0	1.0	2.0	4.0	4.0	4.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0										1.0	3.0	3.0	3.0
ID=AT2G17210.Araport11.447;Name=AT2G17210																																							
ID=AT2G18510.Araport11.447;Name=AT2G18510			1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	4.0	6.0	6.0								1.0	1.0	1.0	2.0	4.0	4.0			1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G30950.Araport11.447;Name=AT2G30950			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G25170.Araport11.447;Name=AT2G25170												2.0	2.0												1.0	1.0												1.0	1.0
ID=AT2G27690.Araport11.447;Name=AT2G27690																																							
ID=AT2G36270.Araport11.447;Name=AT2G36270																																							
ID=AT2G22970.Araport11.447;Name=AT2G22970											1.0	2.0	2.0																								1.0	2.0	2.0
ID=AT2G46590.Araport11.447;Name=AT2G46590									1.0	1.0	1.0	1.0	1.0									1.0	1.0	1.0	1.0	1.0													
ID=AT2G43490.Araport11.447;Name=AT2G43490																																							
ID=AT2G35460.Araport11.447;Name=AT2G35460																																							
ID=AT2G05105.Araport11.447;Name=AT2G05105		1.0	1.0	3.0	3.0	3.0	3.0	3.0	5.0	6.0	6.0	6.0	8.0													1.0		1.0	1.0	3.0	3.0	3.0	3.0	3.0	5.0	6.0	6.0	6.0	7.0
ID=AT2G28940.Araport11.447;Name=AT2G28940																																							
ID=AT2G16570.Araport11.447;Name=AT2G16570	2.0	2.0	2.0	2.0	2.0	3.0	6.0	7.0	9.0	10.0	13.0	14.0	20.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0	5.0	6.0	6.0	7.0	7.0	9.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	5.0	6.0	8.0	9.0	13.0
ID=AT2G31490.Araport11.447;Name=AT2G31490												1.0	2.0												1.0	1.0													1.0
ID=AT2G07725.Araport11.447;Name=AT2G07725													2.0																										2.0
ID=AT2G30985.Araport11.447;Name=AT2G30985													1.0																										1.0
ID=AT2G36850.Araport11.447;Name=AT2G36850	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G46160.Araport11.447;Name=AT2G46160											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G25360.Araport11.447;Name=AT2G25360				1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	6.0	9.0												3.0	5.0				1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0
ID=AT2G20520.Araport11.447;Name=AT2G20520	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G33860.Araport11.447;Name=AT2G33860											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT2G37720.Araport11.447;Name=AT2G37720	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT2G46915.Araport11.447;Name=AT2G46915											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT2G31220.Araport11.447;Name=AT2G31220																																							
ID=AT2G02770.Araport11.447;Name=AT2G02770												1.0	1.0												1.0	1.0													
ID=AT2G32480.Araport11.447;Name=AT2G32480							1.0	1.0	1.0	2.0	2.0	2.0	2.0										1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G39080.Araport11.447;Name=AT2G39080												3.0	4.0																									3.0	4.0
ID=AT2G13360.Araport11.447;Name=AT2G13360			1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	5.0	5.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0										2.0	3.0	4.0	4.0
ID=AT2G06675.Araport11.447;Name=AT2G06675							2.0	4.0	5.0	5.0	6.0	8.0	11.0							1.0	2.0	2.0	2.0	2.0	2.0	4.0							1.0	2.0	3.0	3.0	4.0	6.0	7.0
ID=AT2G32905.Araport11.447;Name=AT2G32905																																							
ID=AT2G28310.Araport11.447;Name=AT2G28310											1.0	1.0	2.0													1.0											1.0	1.0	1.0
ID=AT2G18380.Araport11.447;Name=AT2G18380										1.0	2.0	3.0	4.0										1.0	1.0	1.0	2.0											1.0	2.0	2.0
ID=AT2G24670.Araport11.447;Name=AT2G24670			1.0	1.0	1.0	3.0	3.0	3.0	4.0	4.0	5.0	5.0	5.0			1.0	1.0	1.0	3.0	3.0	3.0	4.0	4.0	5.0	5.0	5.0													
ID=AT2G23000.Araport11.447;Name=AT2G23000			2.0	2.0	2.0	4.0	6.0	7.0	7.0	7.0	7.0	7.0	9.0													2.0			2.0	2.0	2.0	4.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0
ID=AT2G29140.Araport11.447;Name=AT2G29140										3.0	3.0	5.0	6.0													1.0										3.0	3.0	5.0	5.0
ID=AT2G14045.Araport11.447;Name=AT2G14045			1.0	2.0	4.0	4.0	4.0	4.0	5.0	5.0	7.0	8.0	8.0					1.0	1.0	1.0	1.0	2.0	2.0	4.0	5.0	5.0			1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT2G42490.Araport11.447;Name=AT2G42490		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0													1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G40840.Araport11.447;Name=AT2G40840																																							
ID=AT2G37125.Araport11.447;Name=AT2G37125	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G28000.Araport11.447;Name=AT2G28000									1.0	1.0	1.0	2.0	2.0												1.0	1.0									1.0	1.0	1.0	1.0	1.0
ID=AT2G45800.Araport11.447;Name=AT2G45800																																							
ID=AT2G39580.Araport11.447;Name=AT2G39580																																							
ID=AT2G40510.Araport11.447;Name=AT2G40510																																							
ID=AT2G40815.Araport11.447;Name=AT2G40815																																							
ID=AT2G39805.Araport11.447;Name=AT2G39805												1.0	1.0																									1.0	1.0
ID=AT2G22230.Araport11.447;Name=AT2G22230					1.0	1.0	1.0	1.0	1.0	4.0	6.0	6.0	7.0					1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0										2.0	4.0	4.0	4.0
ID=AT2G04830.Araport11.447;Name=AT2G04830		1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	5.0	5.0	8.0	11.0		1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	5.0	5.0	5.0	8.0												3.0	3.0
ID=AT2G29850.Araport11.447;Name=AT2G29850							1.0	1.0	1.0	1.0	1.0	1.0	2.0							1.0	1.0	1.0	1.0	1.0	1.0	2.0													
ID=AT2G29210.Araport11.447;Name=AT2G29210						1.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0						1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0										1.0	1.0	1.0	1.0
ID=AT2G38270.Araport11.447;Name=AT2G38270					1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	9.0												1.0	1.0					1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	8.0
ID=AT2G25060.Araport11.447;Name=AT2G25060												1.0	1.0																									1.0	1.0
ID=AT2G16950.Araport11.447;Name=AT2G16950					1.0	1.0	1.0	2.0	3.0	3.0	3.0	5.0	8.0					1.0	1.0	1.0	2.0	3.0	3.0	3.0	5.0	5.0													3.0
ID=AT2G43140.Araport11.447;Name=AT2G43140																																							
ID=AT2G38170.Araport11.447;Name=AT2G38170	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G04910.Araport11.447;Name=AT2G04910										1.0	2.0	8.0	10.0										1.0	2.0	5.0	5.0												3.0	5.0
ID=AT2G17270.Araport11.447;Name=AT2G17270												1.0	1.0												1.0	1.0													
ID=AT2G07705.Araport11.447;Name=AT2G07705						1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0						1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0													
ID=AT2G15820.Araport11.447;Name=AT2G15820				1.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	7.0	10.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	5.0					1.0	1.0	1.0	2.0	2.0	3.0	3.0	5.0	5.0
ID=AT2G01790.Araport11.447;Name=AT2G01790													1.0													1.0													
ID=AT2G16360.Araport11.447;Name=AT2G16360										2.0	2.0	8.0	12.0										1.0	1.0	1.0	1.0										1.0	1.0	7.0	11.0
ID=AT2G18210.Araport11.447;Name=AT2G18210						1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0												1.0	2.0
ID=AT2G25737.Araport11.447;Name=AT2G25737									1.0	1.0	1.0	1.0	1.0									1.0	1.0	1.0	1.0	1.0													
ID=AT2G19940.Araport11.447;Name=AT2G19940												1.0	2.0																									1.0	2.0
ID=AT2G28840.Araport11.447;Name=AT2G28840												1.0	1.0												1.0	1.0													
ID=AT2G45160.Araport11.447;Name=AT2G45160																																							
ID=AT2G32030.Araport11.447;Name=AT2G32030			1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0			1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0													
ID=AT2G23834.Araport11.447;Name=AT2G23834										1.0	1.0	2.0	6.0										1.0	1.0	1.0	3.0												1.0	3.0
ID=AT2G39640.Araport11.447;Name=AT2G39640																																							
ID=AT2G19850.Araport11.447;Name=AT2G19850								2.0	2.0	2.0	2.0	5.0	5.0								2.0	2.0	2.0	2.0	4.0	4.0												1.0	1.0
ID=AT2G16450.Araport11.447;Name=AT2G16450	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G18570.Araport11.447;Name=AT2G18570						1.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0							1.0	1.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G32260.Araport11.447;Name=AT2G32260																																							
ID=AT2G22040.Araport11.447;Name=AT2G22040												1.0	1.0												1.0	1.0													
ID=AT2G44910.Araport11.447;Name=AT2G44910																																							
ID=AT2G47180.Araport11.447;Name=AT2G47180																																							
ID=AT2G44280.Araport11.447;Name=AT2G44280	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G06210.Araport11.447;Name=AT2G06210	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	9.0	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	5.0	5.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	7.0
ID=AT2G04063.Araport11.447;Name=AT2G04063	1.0	2.0	2.0	4.0	4.0	6.0	6.0	8.0	9.0	10.0	12.0	16.0	18.0	1.0	2.0	2.0	4.0	4.0	5.0	5.0	6.0	7.0	8.0	8.0	9.0	10.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	5.0	8.0	9.0
ID=AT2G16700.Araport11.447;Name=AT2G16700							1.0	1.0	1.0	1.0	1.0	4.0	4.0												2.0	2.0							1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G21385.Araport11.447;Name=AT2G21385													2.0																										2.0
ID=AT2G42100.Araport11.447;Name=AT2G42100																																							
ID=AT2G22620.Araport11.447;Name=AT2G22620							1.0	1.0	2.0	2.0	3.0	3.0	5.0							1.0	1.0	2.0	2.0	3.0	3.0	3.0													2.0
ID=AT2G33750.Araport11.447;Name=AT2G33750								1.0	1.0	1.0	1.0	1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G10930.Araport11.447;Name=AT2G10930			1.0	1.0	1.0	2.0	5.0	7.0	8.0	10.0	14.0	17.0	18.0			1.0	1.0	1.0	2.0	3.0	4.0	4.0	5.0	8.0	10.0	11.0							2.0	3.0	4.0	5.0	6.0	7.0	7.0
ID=AT2G21500.Araport11.447;Name=AT2G21500																																							
ID=AT2G03510.Araport11.447;Name=AT2G03510												1.0	4.0																									1.0	4.0
ID=AT2G26060.Araport11.447;Name=AT2G26060					1.0	1.0	1.0	1.0	1.0	3.0	3.0	4.0	5.0					1.0	1.0	1.0	1.0	1.0	3.0	3.0	4.0	4.0													1.0
ID=AT2G18790.Araport11.447;Name=AT2G18790												1.0	1.0																									1.0	1.0
ID=AT2G20420.Araport11.447;Name=AT2G20420												1.0	3.0												1.0	2.0													1.0
ID=AT2G45720.Araport11.447;Name=AT2G45720																																							
ID=AT2G28225.Araport11.447;Name=AT2G28225																																							
ID=AT2G05630.Araport11.447;Name=AT2G05630			1.0	2.0	3.0	4.0	4.0	6.0	9.0	9.0	11.0	15.0	18.0			1.0	2.0	3.0	4.0	4.0	6.0	6.0	6.0	8.0	11.0	11.0									3.0	3.0	3.0	4.0	7.0
ID=AT2G39410.Araport11.447;Name=AT2G39410																																							
ID=AT2G33200.Araport11.447;Name=AT2G33200											1.0	2.0	2.0											1.0	2.0	2.0													
ID=AT2G39900.Araport11.447;Name=AT2G39900																																							
ID=AT2G15500.Araport11.447;Name=AT2G15500					1.0	1.0	2.0	2.0	3.0	3.0	3.0	4.0	5.0									1.0	1.0	1.0	2.0	3.0					1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G43255.Araport11.447;Name=AT2G43255																																							
ID=AT2G17972.Araport11.447;Name=AT2G17972												4.0	4.0												4.0	4.0													
ID=AT2G36320.Araport11.447;Name=AT2G36320																																							
ID=AT2G06906.Araport11.447;Name=AT2G06906	1.0	1.0	1.0	1.0	1.0	3.0	3.0	5.0	7.0	10.0	12.0	18.0	24.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	4.0	5.0	5.0	7.0	10.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	4.0	6.0	8.0	12.0	15.0
ID=AT2G20440.Araport11.447;Name=AT2G20440									1.0	1.0	1.0	1.0	1.0									1.0	1.0	1.0	1.0	1.0													
ID=AT2G32070.Araport11.447;Name=AT2G32070	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0
ID=AT2G18450.Araport11.447;Name=AT2G18450										1.0	1.0	1.0	4.0													2.0										1.0	1.0	1.0	2.0
ID=AT2G02380.Araport11.447;Name=AT2G02380					1.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0					1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0									1.0	1.0	1.0	1.0	1.0
ID=AT2G37560.Araport11.447;Name=AT2G37560													1.0													1.0													
ID=AT2G47700.Araport11.447;Name=AT2G47700																																							
ID=AT2G45930.Araport11.447;Name=AT2G45930																																							
