gene:Feature	CG_Total_C	CG_Methylated_C	CG_Total_Reads	CG_Methylated_Reads	CG_Weighted_mC	CHG_Total_C	CHG_Methylated_C	CHG_Total_Reads	CHG_Methylated_Reads	CHG_Weighted_mC	CHH_Total_C	CHH_Methylated_C	CHH_Total_Reads	CHH_Methylated_Reads	CHH_Weighted_mC	CG_pvalue	CG_qvalue	CHG_pvalue	CHG_qvalue	CHH_pvalue	CHH_qvalue	Classification
gene:BVRB_003000	14.0	11.0	230.0	150.0	0.6521739130434783	47.0	3.0	571.0	8.0	0.014010507880910685	88.0	1.0	1235.0	11.0	0.008906882591093117			0.4889539498907002	1.0	0.6364114135366165	1.0	Unclassified
gene:BVRB_011520	10.0	10.0	164.0	163.0	0.9939024390243902	10.0	4.0	138.0	70.0	0.5072463768115942	52.0	11.0	706.0	116.0	0.1643059490084986					1.7090669541362832e-11	1.0872058845423241e-10	TE-like
gene:BVRB_011510	1.0	0.0	10.0	7.0	0.7	9.0	0.0	47.0	0.0	0.0	16.0	0.0	111.0	1.0	0.009009009009009007							Unmethylated
gene:BVRB_014310	22.0	22.0	282.0	276.0	0.9787234042553192						8.0	3.0	142.0	14.0	0.09859154929577464	9.032325745108808e-13	3.144195543662618e-12					gbM
gene:BVRB_014290	7.0	1.0	45.0	13.0	0.2888888888888889	7.0	4.0	54.0	30.0	0.5555555555555556	29.0	4.0	242.0	46.0	0.1900826446280992					0.0003226712860780402	0.0015114188279963373	TE-like
gene:BVRB_4g097290	4.0	4.0	25.0	23.0	0.92	10.0	0.0	77.0	0.0	0.0	22.0	0.0	153.0	2.0	0.013071895424836602					1.0	1.0	Unclassified
gene:BVRB_4g097280	13.0	9.0	87.0	70.0	0.8045977011494253	5.0	0.0	30.0	2.0	0.06666666666666668	35.0	0.0	234.0	1.0	0.004273504273504274					1.0	1.0	Unclassified
gene:BVRB_4g097270	12.0	11.0	72.0	62.0	0.8611111111111112	17.0	6.0	142.0	51.0	0.3591549295774648	42.0	0.0	252.0	2.0	0.007936507936507936					1.0	1.0	Unclassified
gene:BVRB_014110	22.0	0.0	128.0	0.0	0.0	14.0	0.0	78.0	0.0	0.0	38.0	0.0	210.0	0.0	0.0	1.0	1.0			1.0	1.0	Unmethylated
gene:BVRB_014100	4.0	0.0	67.0	0.0	0.0						10.0	0.0	119.0	0.0	0.0							NA
gene:BVRB_034630																						NA
gene:BVRB_040170																						NA
gene:BVRB_042170																						NA
gene:BVRB_5g125120	28.0	27.0	502.0	429.0	0.8545816733067729	40.0	39.0	724.0	625.0	0.8632596685082873	122.0	31.0	1853.0	274.0	0.14786832164058286	3.3647745778209506e-14	1.391930908482688e-13	4.245700702570649e-48	4.773358829454878e-47	2.0390350548000232e-32	2.706904582127414e-31	TE-like
gene:BVRB_5g125070	10.0	4.0	60.0	26.0	0.43333333333333335	3.0	0.0	27.0	0.0	0.0	13.0	2.0	91.0	8.0	0.08791208791208792							Unclassified
gene:BVRB_5g125110	19.0	15.0	114.0	86.0	0.7543859649122807	18.0	0.0	113.0	3.0	0.02654867256637168	56.0	0.0	372.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_5g125100	22.0	21.0	288.0	267.0	0.9270833333333334	37.0	0.0	349.0	3.0	0.008595988538681949	95.0	0.0	933.0	0.0	0.0	5.1126936364983975e-11	1.47062730967844e-10	1.0	1.0	1.0	1.0	gbM
gene:BVRB_5g125090																						NA
gene:BVRB_013830	6.0	6.0	52.0	50.0	0.9615384615384616	5.0	0.0	52.0	0.0	0.0	11.0	0.0	138.0	1.0	0.007246376811594203							Unclassified
gene:BVRB_013820	25.0	0.0	879.0	4.0	0.004550625711035267	11.0	0.0	384.0	0.0	0.0	5.0	0.0	162.0	1.0	0.006172839506172839	1.0	1.0					Unmethylated
gene:BVRB_015550						1.0	0.0	8.0	0.0	0.0	10.0	0.0	84.0	2.0	0.023809523809523808							NA
gene:BVRB_017010	16.0	16.0	231.0	225.0	0.974025974025974	8.0	8.0	117.0	101.0	0.8632478632478633	51.0	12.0	479.0	74.0	0.1544885177453027					5.228046722533369e-13	3.529456441999435e-12	TE-like
gene:BVRB_031020																						NA
gene:BVRB_031410																						NA
gene:BVRB_018880																						NA
gene:BVRB_043020																						NA
gene:BVRB_034610	11.0	5.0	93.0	19.0	0.2043010752688172	7.0	0.0	66.0	2.0	0.030303030303030307	22.0	4.0	168.0	10.0	0.05952380952380953					0.00010592307494580403	0.0005065624153169178	TE-like
gene:BVRB_018780																						NA
gene:BVRB_024750																						NA
gene:BVRB_020630																						NA
gene:BVRB_037370																						NA
gene:BVRB_036330																						NA
gene:BVRB_033640																						NA
gene:BVRB_030110																						NA
gene:BVRB_031980																						NA
gene:BVRB_033750																						NA
gene:BVRB_042690																						NA
gene:BVRB_016070	1.0	1.0	12.0	11.0	0.9166666666666666	4.0	4.0	32.0	28.0	0.875	13.0	1.0	102.0	16.0	0.1568627450980392							NA
gene:BVRB_041920																						NA
gene:BVRB_039270																						NA
gene:BVRB_022230																						NA
gene:BVRB_019960																						NA
gene:BVRB_038040																						NA
gene:BVRB_026350																						NA
gene:BVRB_018460																						NA
gene:BVRB_015830	29.0	14.0	203.0	85.0	0.4187192118226601	43.0	0.0	263.0	0.0	0.0	86.0	0.0	526.0	1.0	0.0019011406844106464	0.017962155249252727	0.032321640956172265	1.0	1.0	1.0	1.0	gbM
gene:BVRB_028680																						NA
gene:BVRB_034250																						NA
gene:BVRB_029470	22.0	22.0	225.0	216.0	0.96	25.0	25.0	198.0	166.0	0.8383838383838383	101.0	22.0	698.0	111.0	0.15902578796561606	9.032325745108808e-13	3.144195543662618e-12	4.1864718672328687e-32	2.775146939774407e-31	7.464204777445724e-22	7.09389581958234e-21	TE-like
gene:BVRB_029770																						NA
gene:BVRB_013530	2.0	0.0	16.0	0.0	0.0	3.0	0.0	15.0	0.0	0.0	15.0	0.0	59.0	0.0	0.0							Unmethylated
gene:BVRB_013540	5.0	2.0	37.0	18.0	0.4864864864864865	8.0	2.0	51.0	15.0	0.29411764705882354	22.0	6.0	173.0	22.0	0.12716763005780346					1.4224421562836565e-07	7.694691117338137e-07	TE-like
gene:BVRB_027000																						NA
gene:BVRB_035910																						NA
gene:BVRB_018280																						NA
gene:BVRB_010950																						NA
gene:BVRB_010940						3.0	3.0	54.0	53.0	0.9814814814814816	14.0	7.0	243.0	61.0	0.25102880658436216							NA
gene:BVRB_010960	7.0	0.0	56.0	0.0	0.0	9.0	0.0	72.0	0.0	0.0	17.0	0.0	137.0	0.0	0.0							Unmethylated
gene:BVRB_023560																						NA
gene:BVRB_007990	96.0	96.0	2128.0	2071.0	0.9732142857142856	97.0	97.0	2304.0	1872.0	0.8125	245.0	64.0	4738.0	565.0	0.1192486281131279	2.7764453383320326e-53	1.1986175558901791e-51	1.7896616310495838e-122	8.53982813411523e-121	5.028510064928959e-66	1.4761988916070916e-64	TE-like
gene:BVRB_008030	2.0	1.0	24.0	13.0	0.5416666666666666	3.0	0.0	31.0	2.0	0.06451612903225806	8.0	0.0	92.0	5.0	0.05434782608695652							NA
gene:BVRB_008000	19.0	2.0	130.0	5.0	0.038461538461538464	13.0	0.0	83.0	0.0	0.0	34.0	0.0	222.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_008010	1.0	0.0	12.0	5.0	0.4166666666666667						3.0	0.0	68.0	0.0	0.0							NA
gene:BVRB_008020	7.0	7.0	57.0	55.0	0.9649122807017544	19.0	0.0	155.0	0.0	0.0	70.0	0.0	516.0	1.0	0.0019379844961240308					1.0	1.0	Unclassified
gene:BVRB_018390																						NA
gene:BVRB_036070																						NA
gene:BVRB_034040																						NA
gene:BVRB_015400	2.0	2.0	13.0	13.0	1.0	2.0	2.0	11.0	10.0	0.9090909090909092	11.0	2.0	76.0	17.0	0.2236842105263158							NA
gene:BVRB_039770																						NA
gene:BVRB_015080	3.0	0.0	15.0	0.0	0.0	7.0	0.0	26.0	0.0	0.0	6.0	0.0	22.0	0.0	0.0							NA
gene:BVRB_015070																						NA
gene:BVRB_019480																						NA
gene:BVRB_042150	6.0	5.0	102.0	21.0	0.2058823529411765	5.0	2.0	78.0	10.0	0.1282051282051282	30.0	4.0	367.0	12.0	0.0326975476839237					0.0003689417723526492	0.0017227531092355644	TE-like
gene:BVRB_033350																						NA
gene:BVRB_016160	4.0	4.0	111.0	107.0	0.963963963963964	11.0	1.0	231.0	6.0	0.025974025974025976	17.0	0.0	283.0	1.0	0.00353356890459364							Unclassified
gene:BVRB_034260																						NA
gene:BVRB_023160	13.0	13.0	118.0	116.0	0.9830508474576272	9.0	9.0	92.0	75.0	0.8152173913043478	22.0	10.0	193.0	46.0	0.2383419689119171					2.173401028216789e-14	1.5546753738010307e-13	TE-like
gene:BVRB_020700																						NA
gene:BVRB_042830																						NA
gene:BVRB_032520	7.0	7.0	65.0	19.0	0.2923076923076923	4.0	4.0	29.0	12.0	0.4137931034482759	23.0	2.0	204.0	10.0	0.04901960784313725					0.028197328823154993	0.12007526219562645	Unclassified
gene:BVRB_022630																						NA
gene:BVRB_029290																						NA
gene:BVRB_033170																						NA
gene:BVRB_041040																						NA
gene:BVRB_018070																						NA
gene:BVRB_012070	4.0	2.0	28.0	17.0	0.6071428571428571	5.0	0.0	33.0	0.0	0.0	17.0	0.0	83.0	0.0	0.0							Unclassified
gene:BVRB_028570																						NA
gene:BVRB_018190											5.0	0.0	50.0	1.0	0.02							NA
gene:BVRB_025470																						NA
gene:BVRB_014490	6.0	0.0	201.0	0.0	0.0	11.0	0.0	135.0	0.0	0.0	30.0	0.0	562.0	1.0	0.0017793594306049821					1.0	1.0	Unmethylated
gene:BVRB_013280	12.0	8.0	76.0	45.0	0.5921052631578947	13.0	1.0	92.0	5.0	0.05434782608695652	36.0	1.0	250.0	11.0	0.044					0.33892665819045154	1.0	Unclassified
gene:BVRB_019070	4.0	0.0	42.0	5.0	0.11904761904761905	12.0	0.0	110.0	0.0	0.0	9.0	0.0	127.0	0.0	0.0							Unmethylated
gene:BVRB_024610																						NA
gene:BVRB_022550																						NA
gene:BVRB_035710	3.0	3.0	39.0	37.0	0.9487179487179488	16.0	16.0	256.0	242.0	0.9453125	53.0	28.0	1110.0	291.0	0.2621621621621621					2.8983140538145357e-40	4.6511369207276703e-39	TE-like
gene:BVRB_015800	9.0	9.0	167.0	161.0	0.9640718562874252	25.0	24.0	492.0	462.0	0.9390243902439024	56.0	31.0	1048.0	226.0	0.2156488549618321			1.7828019189423027e-29	1.0851309440417077e-28	2.66726586620678e-45	4.933891522523905e-44	TE-like
gene:BVRB_032770																						NA
gene:BVRB_021220																						NA
gene:BVRB_033890																						NA
gene:BVRB_041830																						NA
gene:BVRB_034400	3.0	3.0	22.0	21.0	0.9545454545454546	3.0	3.0	21.0	19.0	0.9047619047619048	6.0	2.0	35.0	5.0	0.14285714285714285							NA
gene:BVRB_021520																						NA
gene:BVRB_035320																						NA
gene:BVRB_024050																						NA
gene:BVRB_7g180120	6.0	6.0	40.0	36.0	0.9	10.0	0.0	63.0	0.0	0.0	23.0	0.0	173.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_7g180130	1.0	1.0	16.0	9.0	0.5625	3.0	0.0	39.0	1.0	0.02564102564102564	7.0	0.0	97.0	0.0	0.0							NA
gene:BVRB_7g180180	5.0	5.0	26.0	26.0	1.0						9.0	2.0	85.0	26.0	0.3058823529411765							NA
gene:BVRB_7g180220	12.0	5.0	972.0	34.0	0.034979423868312765	16.0	3.0	1267.0	46.0	0.036306235201262825	75.0	8.0	5157.0	80.0	0.015512895094046929					2.4887951723250595e-06	1.2813674378800687e-05	TE-like
gene:BVRB_7g180310						2.0	2.0	24.0	10.0	0.4166666666666667	4.0	1.0	90.0	11.0	0.12222222222222222							NA
gene:BVRB_7g180270											1.0	0.0	31.0	5.0	0.16129032258064516							NA
gene:BVRB_7g180190	45.0	23.0	1954.0	148.0	0.07574206755373593	50.0	17.0	2317.0	152.0	0.06560207164436772	191.0	12.0	9029.0	87.0	0.009635618562410013	0.0010555158580241046	0.0020736719560014594	7.687626551389028e-10	3.3027734414249363e-09	2.6084447515354672e-06	1.3424556072961715e-05	TE-like
gene:BVRB_7g180200	44.0	11.0	2480.0	72.0	0.02903225806451613	35.0	12.0	1692.0	48.0	0.02836879432624113	246.0	22.0	9712.0	118.0	0.0121499176276771	0.7406787874161332	1.0	2.1670241777218934e-07	8.900176172759233e-07	2.1910165070138851e-13	1.5025390100113577e-12	TE-like
gene:BVRB_7g180240																						NA
gene:BVRB_7g180260	6.0	6.0	67.0	66.0	0.9850746268656716	1.0	1.0	10.0	9.0	0.9	9.0	2.0	105.0	9.0	0.08571428571428573							NA
gene:BVRB_7g180230	8.0	0.0	222.0	1.0	0.0045045045045045045	5.0	0.0	144.0	0.0	0.0	21.0	1.0	446.0	3.0	0.006726457399103139					0.21450101923068632	0.8557133511166627	Unmethylated
gene:BVRB_7g180300	14.0	14.0	101.0	100.0	0.99009900990099	15.0	15.0	147.0	141.0	0.9591836734693876	53.0	8.0	434.0	45.0	0.10368663594470046					1.6341332519857983e-07	8.832726677132242e-07	TE-like
gene:BVRB_7g180280	10.0	10.0	80.0	77.0	0.9625	11.0	11.0	129.0	127.0	0.9844961240310076	38.0	12.0	362.0	54.0	0.14917127071823205					1.0231664451157481e-14	7.389657547753263e-14	TE-like
gene:BVRB_7g180320	2.0	1.0	22.0	18.0	0.8181818181818182	2.0	1.0	10.0	6.0	0.6	15.0	2.0	119.0	23.0	0.19327731092436976							NA
gene:BVRB_7g180110	38.0	38.0	851.0	836.0	0.982373678025852	53.0	53.0	1360.0	1237.0	0.9095588235294118	110.0	43.0	2181.0	423.0	0.1939477303988996	1.5717414734836319e-21	1.2423890739539631e-20	3.008279162733223e-67	5.151987135957636e-66	1.0686000328016154e-53	2.4398188864373723e-52	TE-like
gene:BVRB_7g180140																						NA
gene:BVRB_7g180160																						NA
gene:BVRB_7g180290	2.0	0.0	20.0	2.0	0.1	2.0	0.0	20.0	2.0	0.1	23.0	0.0	270.0	4.0	0.014814814814814815					1.0	1.0	Unmethylated
gene:BVRB_7g180210						2.0	1.0	35.0	3.0	0.08571428571428573	19.0	0.0	256.0	5.0	0.01953125							NA
gene:BVRB_7g180250	24.0	24.0	190.0	184.0	0.9684210526315792	19.0	19.0	117.0	103.0	0.8803418803418803	83.0	23.0	564.0	91.0	0.16134751773049644	7.258924543124289e-14	2.9029950805479637e-13			2.054056162218733e-25	2.1940387029005185e-24	TE-like
gene:BVRB_7g180150																						NA
gene:BVRB_7g180170	2.0	1.0	44.0	14.0	0.3181818181818182						8.0	1.0	191.0	5.0	0.026178010471204192							NA
gene:BVRB_027810																						NA
gene:BVRB_035110																						NA
gene:BVRB_028630																						NA
gene:BVRB_029930																						NA
gene:BVRB_040510																						NA
gene:BVRB_027220																						NA
gene:BVRB_039560																						NA
gene:BVRB_015490																						NA
gene:BVRB_027020																						NA
gene:BVRB_030510																						NA
gene:BVRB_8g201950	15.0	15.0	115.0	111.0	0.9652173913043478	23.0	23.0	183.0	169.0	0.9234972677595628	92.0	25.0	704.0	125.0	0.17755681818181818			1.355502500177773e-29	8.298967804712301e-29	2.971473497757964e-27	3.360838990567628e-26	TE-like
gene:BVRB_8g201920	49.0	41.0	947.0	774.0	0.8173178458289335	69.0	2.0	1110.0	14.0	0.012612612612612612	132.0	0.0	2242.0	8.0	0.003568242640499554	1.2121289742855597e-15	5.847625070789265e-15	0.9021068716935999	1.0	1.0	1.0	gbM
gene:BVRB_8g201940	3.0	0.0	110.0	0.0	0.0						2.0	0.0	72.0	1.0	0.013888888888888888							NA
gene:BVRB_8g201960	2.0	2.0	42.0	14.0	0.3333333333333333	3.0	0.0	67.0	0.0	0.0	2.0	0.0	131.0	0.0	0.0							NA
gene:BVRB_8g201930																						NA
gene:BVRB_8g201910																						NA
gene:BVRB_8g201900	4.0	4.0	86.0	70.0	0.813953488372093	5.0	5.0	87.0	60.0	0.6896551724137931	17.0	3.0	305.0	16.0	0.052459016393442616							Unclassified
gene:BVRB_041660																						NA
gene:BVRB_013890	10.0	8.0	100.0	57.0	0.57	14.0	0.0	155.0	0.0	0.0	40.0	0.0	495.0	2.0	0.0040404040404040395					1.0	1.0	Unclassified
gene:BVRB_013880	15.0	0.0	535.0	0.0	0.0	9.0	0.0	340.0	1.0	0.002941176470588236												NA
gene:BVRB_039130																						NA
gene:BVRB_030390																						NA
gene:BVRB_017690	52.0	52.0	682.0	641.0	0.9398826979472141	43.0	43.0	538.0	447.0	0.8308550185873605	162.0	72.0	1975.0	404.0	0.20455696202531645	3.4032193678173067e-29	4.60848821095046e-28	1.0704807566398431e-54	1.423739406330992e-53	7.415104223241339e-94	3.415011013498272e-92	TE-like
gene:BVRB_034370																						NA
gene:BVRB_021880																						NA
gene:BVRB_037700																						NA
gene:BVRB_012520	47.0	16.0	712.0	104.0	0.14606741573033707	19.0	0.0	294.0	1.0	0.003401360544217687	79.0	0.0	905.0	2.0	0.002209944751381216	0.2370906706793669	0.3817484786743647			1.0	1.0	Unclassified
gene:BVRB_012530	34.0	11.0	193.0	52.0	0.2694300518134715	12.0	0.0	68.0	0.0	0.0	50.0	0.0	355.0	2.0	0.0056338028169014105	0.36250104814861983	0.5684547637996519			1.0	1.0	Unclassified
gene:BVRB_012540	12.0	12.0	80.0	75.0	0.9375	24.0	0.0	175.0	0.0	0.0	70.0	0.0	509.0	0.0	0.0			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_012570	1.0	0.0	11.0	5.0	0.4545454545454545	1.0	0.0	8.0	0.0	0.0	6.0	0.0	34.0	0.0	0.0							NA
gene:BVRB_012550	20.0	18.0	192.0	162.0	0.84375	14.0	1.0	190.0	10.0	0.05263157894736842	60.0	0.0	666.0	14.0	0.021021021021021026	1.4220590130353957e-08	3.5735423257919323e-08			1.0	1.0	gbM
gene:BVRB_012580	21.0	19.0	412.0	318.0	0.7718446601941747	29.0	1.0	506.0	5.0	0.009881422924901186	92.0	0.0	1501.0	5.0	0.0033311125916055963	4.4465022203457845e-09	1.1423846752271905e-08	0.8095126099913468	1.0	1.0	1.0	gbM
gene:BVRB_012560											5.0	0.0	32.0	0.0	0.0							NA
gene:BVRB_043090																						NA
gene:BVRB_1g022250	18.0	0.0	223.0	0.0	0.0	1.0	0.0	8.0	0.0	0.0	20.0	0.0	165.0	0.0	0.0					1.0	1.0	Unmethylated
gene:BVRB_1g021990						9.0	0.0	115.0	2.0	0.017391304347826087	22.0	0.0	280.0	4.0	0.014285714285714284					1.0	1.0	NA
gene:BVRB_1g021930	14.0	2.0	124.0	13.0	0.10483870967741936	13.0	0.0	98.0	2.0	0.020408163265306117	23.0	0.0	194.0	2.0	0.010309278350515464					1.0	1.0	Unclassified
gene:BVRB_1g022060	5.0	4.0	118.0	77.0	0.652542372881356	22.0	0.0	269.0	0.0	0.0	64.0	0.0	733.0	2.0	0.002728512960436562			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_1g021970	7.0	7.0	70.0	68.0	0.9714285714285714	3.0	0.0	33.0	0.0	0.0	15.0	0.0	140.0	0.0	0.0							Unclassified
gene:BVRB_1g021920	16.0	0.0	635.0	0.0	0.0	3.0	0.0	134.0	0.0	0.0	6.0	0.0	256.0	0.0	0.0							Unmethylated
gene:BVRB_1g022070	9.0	8.0	89.0	82.0	0.9213483146067416	27.0	0.0	202.0	0.0	0.0	32.0	0.0	341.0	1.0	0.0029325513196480947			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_1g021870	13.0	13.0	95.0	90.0	0.9473684210526316	20.0	6.0	152.0	32.0	0.21052631578947367	61.0	7.0	472.0	53.0	0.11228813559322036			0.0005794436471829548	0.002234486266835688	6.481316722911327e-06	3.276719822921487e-05	TE-like
gene:BVRB_1g022090																						NA
gene:BVRB_1g022140						1.0	1.0	3.0	3.0	1.0	3.0	0.0	30.0	2.0	0.06666666666666668							NA
gene:BVRB_1g021940	19.0	18.0	245.0	227.0	0.926530612244898	54.0	0.0	644.0	2.0	0.003105590062111801	81.0	0.0	1094.0	6.0	0.0054844606946983536			1.0	1.0	1.0	1.0	Unclassified
gene:BVRB_1g022020	10.0	0.0	69.0	0.0	0.0	7.0	0.0	57.0	1.0	0.017543859649122806	22.0	0.0	173.0	3.0	0.017341040462427744					1.0	1.0	Unmethylated
gene:BVRB_1g022040	23.0	19.0	178.0	142.0	0.797752808988764	38.0	0.0	312.0	0.0	0.0	83.0	0.0	673.0	4.0	0.005943536404160475	1.0027811149254034e-07	2.4073419256122685e-07	1.0	1.0	1.0	1.0	gbM
gene:BVRB_1g022240																						NA
gene:BVRB_1g022230	21.0	17.0	176.0	118.0	0.6704545454545454	35.0	1.0	268.0	6.0	0.022388059701492536	67.0	0.0	451.0	1.0	0.0022172949002217295	8.510329229121972e-07	1.9601310048470168e-06	0.8648322645745841	1.0	1.0	1.0	gbM
gene:BVRB_1g021850	15.0	0.0	354.0	2.0	0.005649717514124294	6.0	0.0	172.0	1.0	0.005813953488372093	20.0	0.0	384.0	4.0	0.010416666666666666					1.0	1.0	Unmethylated
gene:BVRB_1g022180	27.0	25.0	183.0	172.0	0.9398907103825136	56.0	0.0	408.0	1.0	0.0024509803921568627	128.0	0.0	909.0	0.0	0.0	3.822696325305247e-12	1.2353447945692132e-11	1.0	1.0	1.0	1.0	gbM
gene:BVRB_1g022110	1.0	1.0	19.0	16.0	0.8421052631578947	2.0	0.0	20.0	0.0	0.0	6.0	0.0	63.0	0.0	0.0							NA
gene:BVRB_1g022190	31.0	29.0	190.0	170.0	0.8947368421052632	36.0	0.0	223.0	2.0	0.008968609865470852	91.0	0.0	624.0	4.0	0.00641025641025641	3.257630581952173e-14	1.3598588487140844e-13	1.0	1.0	1.0	1.0	gbM
gene:BVRB_1g022170	28.0	0.0	234.0	1.0	0.004273504273504274	22.0	0.0	176.0	0.0	0.0	73.0	0.0	580.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	Unmethylated
gene:BVRB_1g022050																						NA
gene:BVRB_1g021910	4.0	1.0	20.0	4.0	0.2	4.0	0.0	28.0	0.0	0.0	23.0	0.0	138.0	1.0	0.007246376811594203					1.0	1.0	Unmethylated
gene:BVRB_1g022120	6.0	6.0	70.0	67.0	0.9571428571428572	17.0	17.0	233.0	219.0	0.9399141630901288	33.0	8.0	366.0	45.0	0.12295081967213115					3.137023576204733e-09	1.812143172371188e-08	TE-like
gene:BVRB_1g021880	2.0	2.0	14.0	11.0	0.7857142857142857	10.0	0.0	50.0	1.0	0.02	10.0	0.0	89.0	0.0	0.0							Unclassified
gene:BVRB_1g021860	7.0	7.0	49.0	49.0	1.0	3.0	3.0	16.0	16.0	1.0	4.0	2.0	62.0	6.0	0.0967741935483871							NA
gene:BVRB_1g022010	7.0	7.0	52.0	50.0	0.9615384615384616	11.0	0.0	104.0	0.0	0.0	43.0	0.0	373.0	1.0	0.0026809651474530827					1.0	1.0	Unclassified
gene:BVRB_1g021960	60.0	8.0	1423.0	70.0	0.04919184820801124	26.0	7.0	498.0	54.0	0.10843373493975904	62.0	8.0	1047.0	54.0	0.051575931232091685	0.9982602135858843	1.0	0.0004208316692058632	0.0016349401890651655	5.689799239403958e-07	3.0006439282942904e-06	TE-like
gene:BVRB_1g022160						2.0	2.0	13.0	12.0	0.9230769230769232	8.0	1.0	56.0	9.0	0.16071428571428573							NA
gene:BVRB_1g022200	13.0	12.0	144.0	120.0	0.8333333333333334	19.0	0.0	228.0	2.0	0.008771929824561403	89.0	0.0	881.0	6.0	0.00681044267877412					1.0	1.0	Unclassified
gene:BVRB_1g021950	6.0	4.0	31.0	19.0	0.6129032258064516	1.0	0.0	24.0	0.0	0.0	17.0	0.0	143.0	0.0	0.0							Unclassified
gene:BVRB_1g022130	25.0	0.0	339.0	0.0	0.0	14.0	0.0	220.0	0.0	0.0	38.0	0.0	297.0	1.0	0.0033670033670033677	1.0	1.0			1.0	1.0	Unmethylated
gene:BVRB_1g022100																						NA
gene:BVRB_1g022080	17.0	16.0	224.0	215.0	0.9598214285714286	40.0	39.0	477.0	433.0	0.9077568134171908	120.0	40.0	1428.0	318.0	0.2226890756302521			4.245700702570649e-48	4.773358829454878e-47	9.840807852596907e-47	1.9151835600828255e-45	TE-like
gene:BVRB_1g022210	20.0	20.0	362.0	351.0	0.9696132596685084	22.0	21.0	423.0	361.0	0.8534278959810875	81.0	28.0	1428.0	195.0	0.13655462184873948	1.1238980083217883e-11	3.4033626139288695e-11	9.143301266369715e-26	4.723535224469181e-25	1.0453642005274062e-33	1.4257665079809898e-32	TE-like
gene:BVRB_1g021900	7.0	6.0	56.0	29.0	0.5178571428571429	7.0	1.0	68.0	3.0	0.04411764705882353	26.0	2.0	206.0	6.0	0.029126213592233014					0.03541754202595697	0.14949626653015358	Unclassified
gene:BVRB_022810																						NA
gene:BVRB_004420	12.0	0.0	137.0	0.0	0.0	6.0	0.0	81.0	0.0	0.0	23.0	0.0	341.0	1.0	0.0029325513196480947					1.0	1.0	Unmethylated
gene:BVRB_004490	7.0	7.0	67.0	65.0	0.9701492537313432	11.0	11.0	87.0	80.0	0.9195402298850576	67.0	19.0	551.0	109.0	0.19782214156079853					1.816205285035224e-21	1.699674925062887e-20	TE-like
gene:BVRB_004430	9.0	0.0	52.0	0.0	0.0	7.0	0.0	68.0	0.0	0.0	13.0	0.0	94.0	1.0	0.010638297872340424							Unmethylated
gene:BVRB_004460																						NA
gene:BVRB_004520	4.0	4.0	70.0	69.0	0.9857142857142858	12.0	0.0	147.0	0.0	0.0	22.0	0.0	263.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_004480	11.0	10.0	131.0	102.0	0.7786259541984732	13.0	0.0	140.0	0.0	0.0	24.0	0.0	345.0	2.0	0.0057971014492753615					1.0	1.0	Unclassified
gene:BVRB_004500	4.0	2.0	16.0	5.0	0.3125	5.0	0.0	23.0	0.0	0.0	6.0	0.0	39.0	0.0	0.0							NA
gene:BVRB_004470	3.0	3.0	22.0	22.0	1.0	6.0	6.0	46.0	42.0	0.9130434782608696	10.0	2.0	129.0	22.0	0.17054263565891473							NA
gene:BVRB_004390	1.0	1.0	22.0	21.0	0.9545454545454546	4.0	4.0	100.0	90.0	0.9	7.0	2.0	169.0	33.0	0.1952662721893491							NA
gene:BVRB_004410	30.0	30.0	419.0	412.0	0.9832935560859188	35.0	35.0	564.0	529.0	0.9379432624113476	108.0	43.0	1343.0	252.0	0.18763961280714814	3.767821781295058e-17	2.0485756531024044e-16	1.1764878542139624e-44	1.1958090368604032e-43	4.0305918315255534e-54	9.281403929855419e-53	TE-like
gene:BVRB_004450	6.0	6.0	38.0	33.0	0.8684210526315791	12.0	0.0	67.0	1.0	0.01492537313432836	22.0	0.0	148.0	0.0	0.0					1.0	1.0	Unclassified
gene:BVRB_004440	7.0	0.0	49.0	0.0	0.0	7.0	0.0	44.0	0.0	0.0	14.0	0.0	142.0	0.0	0.0							Unmethylated
gene:BVRB_004510																						NA
gene:BVRB_004400	2.0	0.0	19.0	0.0	0.0	2.0	0.0	19.0	0.0	0.0	7.0	0.0	70.0	3.0	0.042857142857142864							NA
gene:BVRB_030470																						NA
gene:BVRB_4g092530	2.0	0.0	25.0	0.0	0.0	2.0	0.0	17.0	0.0	0.0	11.0	0.0	97.0	0.0	0.0							NA
gene:BVRB_4g091750	7.0	0.0	53.0	2.0	0.03773584905660377	8.0	0.0	77.0	2.0	0.025974025974025976	14.0	0.0	202.0	1.0	0.0049504950495049506							Unmethylated
gene:BVRB_4g092420																						NA
gene:BVRB_4g091730	5.0	4.0	44.0	34.0	0.7727272727272727	3.0	0.0	24.0	1.0	0.041666666666666664	18.0	0.0	168.0	3.0	0.017857142857142856							Unclassified
