Transposed,Parent,speciesCount,Atrichopoda,Nnucifera,Acoerulea,Spolyrhiza,Closest
AT2G04230,AT4G26340,15,0,0,0,0,Alyrata_AL5G28950
AT2G04300,AT3G21340,0,0,0,0,0,Unknown
AT2G04390,AT5G04800,0,0,0,0,0,Unknown
AT2G04420,AT1G04625,2,0,0,0,0,Esalsugineum_Thhalv10019506m.g
AT2G04420,AT1G04625,2,0,0,0,0,Esalsugineum_Thhalv10022287m.g
AT2G04500,AT4G02180,14,0,0,0,0,Esalsugineum_Thhalv10027103m.g
AT2G04680,AT4G02180,15,0,0,0,0,Athaliana_AT5G37620
AT2G04680,AT4G02180,15,0,0,0,0,Crubella_Carub.0007s3277
AT2G04680,AT4G02180,15,0,0,0,0,Crubella_Carub.0007s3278
AT2G04680,AT4G02180,15,0,0,0,0,Alyrata_AL7G46380
AT2G04780,AT5G60490,1,2,2,1,1,Alyrata_AL3G42370
AT2G04920,AT3G22730,4,0,0,0,0,Alyrata_AL3G42560
AT2G04920,AT3G22730,4,0,0,0,0,Alyrata_AL3G42550
AT2G05050,AT2G30020,3,0,0,0,0,Athaliana_AT4G08260
AT2G05180,AT3G20080,2,0,0,0,0,Brapa_Brara.E02674
AT2G05180,AT3G20080,2,0,0,0,0,Boleracea_Bo5g129150
AT2G05180,AT3G20080,2,0,0,0,0,Boleracea_Bo5g129180
AT2G05220,AT5G04800,0,0,0,0,0,Unknown
AT2G05260,AT4G10955,1,0,0,0,0,Alyrata_AL3G42810
AT2G05360,AT1G64290,2,0,0,0,0,Athaliana_AT1G64295
AT2G05600,AT1G13200,3,0,0,0,0,Crubella_Carub.0005s0113
AT2G05635,AT1G20720,1,0,0,0,0,Ptrichocarpa_Potri.005G252900
AT2G05635,AT1G20720,1,0,0,0,0,Cpapaya_evm.TU.supercontig_26.169
AT2G05635,AT1G20720,1,0,0,0,0,Alyrata_AL1G33220
AT2G05635,AT1G20720,1,0,0,0,0,Bvulgaris_gene_BVRB_026200
AT2G05635,AT1G20720,1,0,0,0,0,Esalsugineum_Thhalv10009567m.g
AT2G05635,AT1G20720,1,0,0,0,0,Eguineensis_p5.00_sc00014_p0199
AT2G05635,AT1G20720,1,0,0,0,0,Eguineensis_p5.00_sc00014_p0200
AT2G05635,AT1G20720,1,0,0,0,0,Slycopersicum_Solyc10g079515.1
AT2G05635,AT1G20720,1,0,0,0,0,Cannuum_CA10g20090
AT2G05710,AT4G35830,2,1,2,1,1,Alyrata_AL3G43150
AT2G05790,AT5G55180,1,0,0,2,0,Alyrata_AL3G43300
AT2G05920,AT3G14067,1,1,2,1,1,Alyrata_AL3G43500
AT2G06090,AT5G04347,6,0,0,0,0,Alyrata_AL4G15572
AT2G06850,AT4G13080,2,1,2,3,1,Alyrata_AL3G43880
AT2G07140,AT3G22350,13,0,0,0,0,Athaliana_AT3G18320
AT2G07440,AT2G41310,0,0,0,0,0,Unknown
AT2G07560,AT2G18960,3,2,2,1,0,Alyrata_AL3G44180
AT2G07565,ATCG01000,0,0,0,0,0,Unknown
AT2G07771,AT2G07681,2,0,0,0,0,Athaliana_ATMG00900
AT2G07773,ATMG00910,0,0,0,0,0,Unknown
AT2G09970,AT5G20670,2,0,1,1,0,Athaliana_AT1G72510
AT2G09990,AT5G18380,0,0,0,0,0,Unknown
AT2G10625,AT1G60220,1,0,0,0,0,Cpapaya_evm.TU.supercontig_69.20
AT2G10625,AT1G60220,1,0,0,0,0,Pvirgatum_Pavir.5NG488886
AT2G10625,AT1G60220,1,0,0,0,0,Othomaeum_Oropetium_20150105_12429
AT2G10625,AT1G60220,1,0,0,0,0,Eguineensis_p5.00_sc00008_p0229
AT2G10625,AT1G60220,1,0,0,0,0,Vvinifera_VIT_201s0026g00130
AT2G10625,AT1G60220,1,0,0,0,0,Bdistachyon_Bradi3g11016
AT2G10930,AT5G48500,1,0,0,0,2,Aofficinalis_evm.TU.AsparagusV1_10.1285
AT2G10930,AT5G48500,1,0,0,0,2,Aofficinalis_evm.TU.AsparagusV1_04.2041
AT2G10930,AT5G48500,1,0,0,0,2,Sviridis_Sevir.5G431000
AT2G10930,AT5G48500,1,0,0,0,2,Sitalica_Seita.5G425400
AT2G10930,AT5G48500,1,0,0,0,2,Pvirgatum_Pavir.5KG711700
AT2G10930,AT5G48500,1,0,0,0,2,Pvirgatum_Pavir.5NG012624
AT2G10930,AT5G48500,1,0,0,0,2,Phallii_Pahal.5G046100
AT2G10930,AT5G48500,1,0,0,0,2,Sbicolor_Sobic.003G399400
AT2G10930,AT5G48500,1,0,0,0,2,Zmays_Zm00001d042386
AT2G10930,AT5G48500,1,0,0,0,2,Osativa_LOC_Os01g68570
AT2G10930,AT5G48500,1,0,0,0,2,Bdistachyon_Bradi2g58507
AT2G10930,AT5G48500,1,0,0,0,2,Othomaeum_Oropetium_20150105_13174
AT2G10930,AT5G48500,1,0,0,0,2,Othomaeum_Oropetium_20150105_09066
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr8G08860_001
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr8G01000_001
AT2G10930,AT5G48500,1,0,0,0,2,Eguineensis_p5.00_sc30985_p0001
AT2G10930,AT5G48500,1,0,0,0,2,Eguineensis_p5.00_sc00209_p0012
AT2G10930,AT5G48500,1,0,0,0,2,Eguineensis_p5.00_sc03835_p0002
AT2G10930,AT5G48500,1,0,0,0,2,Eguineensis_p5.00_sc00465_p0004
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr6G17080_001
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr6G27840_001
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr3G18910_001
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr10G11210_001
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr8G28450_001
AT2G10930,AT5G48500,1,0,0,0,2,Aofficinalis_evm.TU.AsparagusV1_09.1680
AT2G10930,AT5G48500,1,0,0,0,2,Macuminata_GSMUA_Achr2G06070_001
AT2G10930,AT5G48500,1,0,0,0,2,Sviridis_Sevir.3G318500
AT2G10930,AT5G48500,1,0,0,0,2,Sitalica_Seita.3G313000
AT2G10930,AT5G48500,1,0,0,0,2,Pvirgatum_Pavir.3KG418300
AT2G10930,AT5G48500,1,0,0,0,2,Pvirgatum_Pavir.3NG103700
AT2G10930,AT5G48500,1,0,0,0,2,Phallii_Pahal.3G406800
AT2G10930,AT5G48500,1,0,0,0,2,Osativa_LOC_Os12g22800
AT2G10930,AT5G48500,1,0,0,0,2,Sbicolor_Sobic.008G099100
AT2G10930,AT5G48500,1,0,0,0,2,Zmays_Zm00001d040991
AT2G10930,AT5G48500,1,0,0,0,2,Zmays_Zm00001d023785
AT2G10930,AT5G48500,1,0,0,0,2,Sviridis_Sevir.5G332800
AT2G10930,AT5G48500,1,0,0,0,2,Sitalica_Seita.5G329100
AT2G10930,AT5G48500,1,0,0,0,2,Phallii_Pahal.5G147900
AT2G10930,AT5G48500,1,0,0,0,2,Pvirgatum_Pavir.5NG511300
AT2G10930,AT5G48500,1,0,0,0,2,Pvirgatum_Pavir.5KG558100
AT2G10930,AT5G48500,1,0,0,0,2,Osativa_LOC_Os11g22960
AT2G10930,AT5G48500,1,0,0,0,2,Bdistachyon_Bradi4g19620
AT2G10930,AT5G48500,1,0,0,0,2,Sbicolor_Sobic.005G125300
AT2G10930,AT5G48500,1,0,0,0,2,Zmays_Zm00001d049256
AT2G10930,AT5G48500,1,0,0,0,2,Sitalica_Seita.4G156300
AT2G10930,AT5G48500,1,0,0,0,2,Sviridis_Sevir.4G123400
AT2G10930,AT5G48500,1,0,0,0,2,Pvirgatum_Pavir.4NG208200
AT2G10930,AT5G48500,1,0,0,0,2,Sbicolor_Sobic.010G096200
AT2G10930,AT5G48500,1,0,0,0,2,Zmays_Zm00001d044801
AT2G10930,AT5G48500,1,0,0,0,2,Othomaeum_Oropetium_20150105_06803
AT2G10930,AT5G48500,1,0,0,0,2,Osativa_LOC_Os06g23910
AT2G10930,AT5G48500,1,0,0,0,2,Bdistachyon_Bradi1g41750
AT2G10940,AT1G62500,1,1,2,2,1,Alyrata_AL3G44750
AT2G10950,AT5G65910,1,1,2,1,1,Alyrata_AL3G44760
AT2G11045,AT5G56060,2,0,0,0,0,Esalsugineum_Thhalv10015456m.g
AT2G11200,AT3G17620,89,0,0,0,0,Brapa_Brara.A01854
AT2G11200,AT3G17620,89,0,0,0,0,Boleracea_Bo7g031100
AT2G11200,AT3G17620,89,0,0,0,0,Boleracea_Bo1g053200
AT2G11205,AT5G43755,0,0,0,0,0,Unknown
AT2G12290,AT4G19700,1,0,1,0,1,Cannuum_CA09g03480
AT2G12290,AT4G19700,1,0,1,0,1,Cannuum_CA10g09830
AT2G12290,AT4G19700,1,0,1,0,1,Cannuum_CA10g09820
AT2G12462,AT1G15760,1,0,0,0,1,Crubella_Carub.0003s2776
AT2G13100,AT4G17550,1,1,1,1,1,Alyrata_AL3G45150
AT2G13350,AT1G04540,1,0,0,0,0,Alyrata_AL3G45250
AT2G13350,AT1G04540,1,0,0,0,0,Crubella_Carub.0003s2788
AT2G13570,AT5G47640,1,0,1,0,0,Alyrata_AL3G45410
AT2G13610,AT1G53270,1,1,2,1,1,Alyrata_AL3G45470
AT2G13620,AT5G41610,24,7,24,15,7,Alyrata_AL3G45480
AT2G13680,AT1G05570,2,3,2,3,2,Alyrata_AL3G45540
AT2G13820,AT5G64080,1,0,0,0,0,Alyrata_AL3G45660
AT2G13980,AT1G04625,12,0,0,0,0,Athaliana_AT3G09510
AT2G13985,AT2G24645,1,0,0,0,0,Alyrata_AL4G19670
AT2G13985,AT2G24645,1,0,0,0,0,Alyrata_AL3G33570
AT2G14060,AT5G66430,3,0,0,0,0,Crubella_Carub.0003s2832
AT2G14060,AT5G66430,3,0,0,0,0,Boleracea_Bo8g080430
AT2G14060,AT5G66430,3,0,0,0,0,Esalsugineum_Thhalv10010461m.g
AT2G14060,AT5G66430,3,0,0,0,0,Esalsugineum_Thhalv10011047m.g
AT2G14080,AT5G18350,15,0,0,0,0,Athaliana_AT3G44400
AT2G14080,AT5G18350,15,0,0,0,0,Athaliana_AT3G44480
AT2G14080,AT5G18350,15,0,0,0,0,Athaliana_AT3G44670
AT2G14080,AT5G18350,15,0,0,0,0,Athaliana_AT3G44630
AT2G14080,AT5G18350,15,0,0,0,0,Athaliana_AT3G25510
AT2G14100,AT3G20080,2,0,0,0,0,Athaliana_AT3G32047
AT2G14210,AT4G37940,1,0,0,0,1,Alyrata_AL3G45910
AT2G14560,AT5G01750,2,0,0,0,0,Athaliana_AT1G33840
AT2G14635,AT2G44900,1,0,0,0,0,Graimondii_Gorai.006G069100
AT2G14635,AT2G44900,1,0,0,0,0,Ptrichocarpa_Potri.013G067100
AT2G14635,AT2G44900,1,0,0,0,0,Graimondii_Gorai.009G301300
AT2G14635,AT2G44900,1,0,0,0,0,Graimondii_Gorai.006G068200
AT2G14635,AT2G44900,1,0,0,0,0,Graimondii_Gorai.011G218400
AT2G14635,AT2G44900,1,0,0,0,0,Othomaeum_Oropetium_20150105_20044
AT2G14635,AT2G44900,1,0,0,0,0,Othomaeum_Oropetium_20150105_20042
AT2G14670,AT1G71880,4,0,0,0,0,Athaliana_AT1G66570
AT2G14695,AT4G32272,1,0,0,0,0,Alyrata_AL3G46400
AT2G14750,AT5G67520,1,0,0,0,0,Alyrata_AL3G46480
AT2G14820,AT5G67440,1,0,0,0,0,Alyrata_AL3G46560
AT2G14846,AT5G38160,8,0,0,0,0,Crubella_Carub.0007s2999
AT2G14846,AT5G38160,8,0,0,0,0,Athaliana_AT4G12825
AT2G14846,AT5G38160,8,0,0,0,0,Alyrata_AL2G23750
AT2G14846,AT5G38160,8,0,0,0,0,Alyrata_AL9U11690
AT2G14846,AT5G38160,8,0,0,0,0,Alyrata_AL1G17990
AT2G14846,AT5G38160,8,0,0,0,0,Athaliana_AT1G43666
AT2G14846,AT5G38160,8,0,0,0,0,Crubella_Carub.0001s0711
AT2G14846,AT5G38160,8,0,0,0,0,Alyrata_AL1G18000
AT2G14846,AT5G38160,8,0,0,0,0,Athaliana_AT1G43665
AT2G14846,AT5G38160,8,0,0,0,0,Alyrata_AL1G18020
AT2G14846,AT5G38160,8,0,0,0,0,Athaliana_AT1G07747
AT2G14846,AT5G38160,8,0,0,0,0,Crubella_Carub.0001s0712
AT2G14846,AT5G38160,8,0,0,0,0,Crubella_Carub.0007s3508
AT2G14846,AT5G38160,8,0,0,0,0,Alyrata_AL1G17980
AT2G14846,AT5G38160,8,0,0,0,0,Athaliana_AT1G43667
AT2G14920,AT1G18590,14,0,2,9,0,Alyrata_AL1G25180
AT2G14920,AT1G18590,14,0,2,9,0,Athaliana_AT1G13420
AT2G14960,AT4G37390,1,0,0,0,0,Alyrata_AL3G46770
AT2G15050,AT2G38530,2,0,0,0,0,Alyrata_AL3G46850
AT2G15260,AT3G05545,2,1,0,0,1,Crubella_Carub.0007s2907
AT2G15260,AT3G05545,2,1,0,0,1,Crubella_Carub.0007s2906
AT2G15260,AT3G05545,2,1,0,0,1,Athaliana_AT4G13490
AT2G15260,AT3G05545,2,1,0,0,1,Alyrata_AL9U10040
AT2G15260,AT3G05545,2,1,0,0,1,Alyrata_AL9U10030
AT2G15310,AT3G62290,1,0,0,1,0,Alyrata_AL3G47070
AT2G15440,AT5G67210,1,0,0,0,0,Alyrata_AL3G47180
AT2G15570,AT1G03680,1,1,1,2,1,Alyrata_AL3G47330
AT2G15680,AT5G37770,3,3,3,4,3,Alyrata_AL3G47450
AT2G15680,AT5G37770,3,3,3,4,3,Crubella_Carub.0003s2954
AT2G15690,AT4G32450,1,0,3,2,1,Alyrata_AL3G47460
AT2G15790,AT3G63400,1,1,1,2,1,Crubella_Carub.0003s2970
AT2G15880,AT3G19020,2,1,3,2,0,Alyrata_AL3G47670
AT2G16485,AT3G51120,1,0,1,1,0,Alyrata_AL3G52680
AT2G16520,AT3G45460,2,0,0,0,0,Alyrata_AL6G15230
AT2G16575,AT1G17780,0,0,0,0,0,Unknown
AT2G16740,AT5G53300,4,3,4,5,2,Crubella_Carub.0003s3054
AT2G16870,AT1G63860,1,0,0,0,0,Alyrata_AL3G49580
AT2G17230,AT1G35140,3,3,5,2,3,Alyrata_AL3G50090
AT2G17470,AT1G25480,2,0,0,0,0,Alyrata_AL3G50340
AT2G17580,AT5G23690,1,1,1,1,0,Alyrata_AL3G50550
AT2G17740,AT2G42060,7,0,0,0,0,Crubella_Carub.0003s3187
AT2G17750,AT5G56530,1,0,0,0,0,Alyrata_AL3G50750
AT2G17830,AT3G17620,89,0,0,0,0,Athaliana_AT5G42460
AT2G17845,AT1G62610,1,0,0,0,0,Alyrata_AL3G50880
AT2G17845,AT1G62610,1,0,0,0,0,Brapa_Brara.D00409
AT2G18050,AT2G30620,1,1,2,2,1,Alyrata_AL3G51200
AT2G18110,AT5G19510,2,1,2,1,1,Alyrata_AL3G51290
AT2G18370,AT3G08770,2,10,1,24,0,Alyrata_AL3G51640
AT2G18500,AT3G52525,2,3,7,2,3,Alyrata_AL3G51830
AT2G18700,AT1G23870,1,1,2,0,3,Alyrata_AL3G52090
AT2G18780,AT3G17620,89,0,0,0,0,Alyrata_AL3G53160
AT2G18780,AT3G17620,89,0,0,0,0,Alyrata_AL3G53140
AT2G18810,AT2G31862,2,0,0,0,0,Athaliana_AT2G31720
AT2G18890,AT5G65530,5,5,4,4,3,Alyrata_AL3G53030
AT2G19180,AT1G78890,1,0,0,0,0,Crubella_Carub.0003s3344
AT2G19180,AT1G78890,1,0,0,0,0,Alyrata_AL3G52740
AT2G19220,AT3G11290,2,0,0,0,0,Alyrata_AL3G52710
AT2G19220,AT3G11290,2,0,0,0,0,Alyrata_AL3G49070
AT2G19400,AT1G03920,2,1,1,1,2,Alyrata_AL3G48920
AT2G19440,AT3G04010,2,0,0,0,0,Alyrata_AL2G19000
AT2G19440,AT3G04010,2,0,0,0,0,Athaliana_AT1G64760
AT2G19900,AT5G11670,1,0,0,1,0,Alyrata_AL3G48320
AT2G20110,AT4G29000,1,0,0,0,0,Alyrata_AL3G47970
AT2G20160,AT1G75950,15,0,11,28,0,Alyrata_AL3G47920
AT2G20562,AT2G31090,1,1,1,6,1,Ptrichocarpa_Potri.011G114600
AT2G20585,AT1G28395,1,0,3,0,1,Alyrata_AL3G53640
AT2G20805,AT1G11510,1,0,0,0,0,Alyrata_AL3G53940
AT2G20835,AT3G15534,1,0,0,0,0,Boleracea_Bo8g102170
AT2G20835,AT3G15534,1,0,0,0,0,Boleracea_Bo00902s030
AT2G20835,AT3G15534,1,0,0,0,0,Brapa_Brara.G00031
AT2G20835,AT3G15534,1,0,0,0,0,Esalsugineum_Thhalv10002196m.g
AT2G20835,AT3G15534,1,0,0,0,0,Crubella_Carub.0003s3548
AT2G20835,AT3G15534,1,0,0,0,0,Alyrata_AL3G54020
AT2G20835,AT3G15534,1,0,0,0,0,Brapa_Brara.I04682
AT2G20840,AT1G61250,2,0,1,2,2,Alyrata_AL3G54030
AT2G20850,AT1G11130,2,0,0,0,0,Cviolacea_Clevi.0008s0016
AT2G21030,AT1G31880,0,0,0,0,0,Unknown
AT2G21420,AT5G60250,5,0,0,0,0,Athaliana_AT5G37560
AT2G21630,AT4G14160,1,1,2,1,1,Alyrata_AL4G10830
AT2G21880,AT1G49300,4,1,1,1,1,Alyrata_AL4G11190
AT2G21890,AT2G21730,0,0,0,0,0,Unknown
AT2G22160,AT5G45890,1,11,0,8,3,Atrichopoda_evm_27.TU.AmTr_v1.0_scaffold00226.7
AT2G22160,AT5G45890,1,11,0,8,3,Atrichopoda_evm_27.TU.AmTr_v1.0_scaffold00061.276
AT2G22160,AT5G45890,1,11,0,8,3,Atrichopoda_evm_27.TU.AmTr_v1.0_scaffold00061.274
AT2G22160,AT5G45890,1,11,0,8,3,Atrichopoda_evm_27.TU.AmTr_v1.0_scaffold00090.47
AT2G22300,AT5G64220,1,0,0,0,0,Alyrata_AL4G11790
AT2G22500,AT4G24570,1,0,2,1,2,Alyrata_AL4G12040
AT2G22600,AT5G64390,1,0,0,1,0,Alyrata_AL4G12140
AT2G22740,AT5G47150,2,0,0,0,0,Alyrata_AL4G12270
AT2G22930,AT4G27560,7,0,0,0,0,Alyrata_AL6G43060
AT2G22930,AT4G27560,7,0,0,0,0,Brapa_Brara.C01369
AT2G22930,AT4G27560,7,0,0,0,0,Crubella_Carub.0002s0987
AT2G22930,AT4G27560,7,0,0,0,0,Crubella_Carub.0006s2789
AT2G22930,AT4G27560,7,0,0,0,0,Boleracea_Bo2g042220
AT2G22930,AT4G27560,7,0,0,0,0,Boleracea_Bo2g042230
AT2G22930,AT4G27560,7,0,0,0,0,Crubella_Carub.0006s2837
AT2G22930,AT4G27560,7,0,0,0,0,Crubella_Carub.0006s2834
AT2G22930,AT4G27560,7,0,0,0,0,Crubella_Carub.0006s2835
AT2G22930,AT4G27560,7,0,0,0,0,Crubella_Carub.0006s2836
AT2G22930,AT4G27560,7,0,0,0,0,Crubella_Carub.0006s2833
AT2G23030,AT1G10940,1,0,0,0,0,Alyrata_AL4G12700
AT2G23180,AT4G39480,1,0,0,0,0,Crubella_Carub.0004s0240
AT2G23200,AT3G46290,8,5,14,4,7,Alyrata_AL4G13080
AT2G23310,AT4G39220,1,1,2,1,1,Alyrata_AL4G13200
AT2G23310,AT4G39220,1,1,2,1,1,Crubella_Carub.0004s0252
AT2G23350,AT1G49760,1,1,2,2,0,Crubella_Carub.0004s0255
AT2G23430,AT1G49620,2,0,2,2,1,Alyrata_AL4G13370
AT2G23830,AT3G60600,3,1,4,4,2,Acoerulea_Aqcoe6G075600
AT2G23830,AT3G60600,3,1,4,4,2,Ppersica_Prupe.6G335500
AT2G23830,AT3G60600,3,1,4,4,2,Macuminata_GSMUA_Achr3G08850_001
AT2G23830,AT3G60600,3,1,4,4,2,Othomaeum_Oropetium_20150105_21531
AT2G23830,AT3G60600,3,1,4,4,2,Othomaeum_Oropetium_20150105_28348
AT2G23900,AT4G23500,2,0,1,1,0,Brapa_Brara.D01428
AT2G23900,AT4G23500,2,0,1,1,0,Boleracea_Bo4g154060
AT2G23900,AT4G23500,2,0,1,1,0,Esalsugineum_Thhalv10000145m.g
AT2G23900,AT4G23500,2,0,1,1,0,Crubella_Carub.0004s0305
AT2G23930,AT3G11500,1,0,0,0,0,Crubella_Carub.0004s0309
AT2G23985,AT5G24060,1,0,0,0,0,Macuminata_GSMUA_Achr6G17100_001
AT2G23985,AT5G24060,1,0,0,0,0,Zjujuba_LOC107409923
AT2G24120,AT1G68990,1,1,1,1,1,Alyrata_AL4G14220
AT2G24170,AT5G10840,1,2,2,1,0,Alyrata_AL4G14320
AT2G24190,AT3G61220,1,0,0,0,0,Alyrata_AL4G14380
AT2G24190,AT3G61220,1,0,0,0,0,Crubella_Carub.0004s0346
AT2G24470,AT4G36120,3,0,2,0,0,Boleracea_Bo7g062180
AT2G24510,AT3G17530,2,0,0,0,0,Alyrata_AL4G15010
AT2G24520,AT2G18960,1,1,1,1,2,Alyrata_AL4G15040
AT2G24560,AT2G30220,4,0,0,0,0,Alyrata_AL4G15110
AT2G24670,AT1G05615,1,0,0,0,0,Alyrata_AL4G15340
AT2G24692,AT3G50780,0,0,0,0,0,Unknown
AT2G24765,AT5G14670,1,1,1,1,1,Alyrata_AL4G15760
AT2G24810,AT1G19320,1,0,0,0,0,Boleracea_Bo8g102810
AT2G25140,AT5G15450,1,1,1,1,1,Alyrata_AL4G16310
AT2G25410,AT2G46494,2,0,0,0,0,Alyrata_AL5G44250
AT2G25440,AT3G05650,16,0,0,2,0,Alyrata_AL4G16860
AT2G25450,AT2G30830,1,0,0,0,0,Boleracea_Bo4g173550
AT2G25450,AT2G30830,1,0,0,0,0,Boleracea_Bo4g173530
AT2G25450,AT2G30830,1,0,0,0,0,Boleracea_Bo4g173560
AT2G25450,AT2G30830,1,0,0,0,0,Brapa_Brara.K01198
AT2G25450,AT2G30830,1,0,0,0,0,Brapa_Brara.D01848
AT2G25450,AT2G30830,1,0,0,0,0,Brapa_Brara.D01849
AT2G25460,AT3G11760,2,1,3,1,2,Alyrata_AL4G16870
AT2G25630,AT2G44450,3,0,0,0,0,Brapa_Brara.E00429
AT2G25630,AT2G44450,3,0,0,0,0,Alyrata_AL4G17120
AT2G25650,AT1G61730,3,0,0,0,5,Athaliana_AT4G00270
AT2G25700,AT1G20140,0,0,0,0,0,Unknown
AT2G25810,AT4G17340,1,1,2,2,1,Alyrata_AL4G17530
AT2G25810,AT4G17340,1,1,2,2,1,Crubella_Carub.0004s0562
AT2G25880,AT2G45490,2,1,1,1,1,Alyrata_AL4G17710
AT2G25880,AT2G45490,2,1,1,1,1,Alyrata_AL4G17830
AT2G25880,AT2G45490,2,1,1,1,1,Crubella_Carub.0004s0570
AT2G25890,AT4G25140,6,2,3,3,2,Alyrata_AL4G17840
AT2G25900,AT2G19810,1,0,0,0,0,Alyrata_AL4G17870
AT2G25905,AT1G24570,0,0,0,0,0,Unknown
AT2G25970,AT4G10070,1,2,3,3,2,Alyrata_AL4G18040
AT2G26030,AT1G78750,9,0,0,0,0,Alyrata_AL4G18170
AT2G26050,AT1G80220,1,0,0,0,0,Alyrata_AL4G18200
AT2G26100,AT1G53290,1,1,1,0,1,Alyrata_AL4G18250
AT2G26110,AT4G26130,1,0,0,0,0,Alyrata_AL4G18280
AT2G26150,AT3G22830,2,2,2,2,2,Alyrata_AL4G18400
AT2G26160,AT4G35733,2,0,0,0,0,Alyrata_AL4G18420
AT2G26250,AT2G16280,2,2,1,2,2,Alyrata_AL4G18830
AT2G26290,AT2G05940,2,0,0,0,0,Alyrata_AL4G18890
AT2G26320,AT1G22130,8,0,0,1,0,Crubella_Carub.0004s0623
AT2G26330,AT5G62230,1,1,2,1,1,Alyrata_AL4G18950
AT2G26400,AT4G14710,1,0,0,0,0,Alyrata_AL4G19080
AT2G26400,AT4G14710,1,0,0,0,0,Crubella_Carub.0003s3288
AT2G26480,AT5G59580,1,0,0,0,0,Alyrata_AL4G19300
AT2G26490,AT1G47610,5,0,2,2,0,Alyrata_AL4G19310
AT2G26520,AT3G57500,1,2,0,2,1,Alyrata_AL4G19370
AT2G26620,AT1G17150,9,0,0,0,0,Athaliana_AT2G15470
AT2G26620,AT1G17150,9,0,0,0,0,Athaliana_AT2G15450
AT2G26620,AT1G17150,9,0,0,0,0,Athaliana_AT2G15460
AT2G26640,AT1G04220,1,1,2,1,2,Alyrata_AL4G19620
AT2G26650,AT2G25600,1,0,0,2,0,Alyrata_AL4G19630
AT2G26660,AT5G20150,1,0,0,0,0,Alyrata_AL4G19640
AT2G26770,AT2G40820,1,0,0,0,0,Crubella_Carub.0004s0718
AT2G26770,AT2G40820,1,0,0,0,0,Alyrata_AL4G19960
AT2G26820,AT1G33830,0,0,0,0,0,Unknown
AT2G26860,AT5G62970,4,0,0,0,0,Alyrata_AL4G20070
AT2G26940,AT2G17180,3,0,0,0,3,Boleracea_Bo4g076920
AT2G26960,AT3G11440,1,0,0,0,0,Alyrata_AL4G20250
AT2G26975,AT3G46900,1,0,0,0,0,Alyrata_AL4G20270
AT2G27035,AT5G15350,1,0,2,2,0,Alyrata_AL4G20570
AT2G27080,AT2G22180,2,1,1,1,1,Alyrata_AL4G20740
AT2G27080,AT2G22180,2,1,1,1,1,Alyrata_AL4G20640
AT2G27110,AT4G38170,1,0,1,1,0,Alyrata_AL4G20800
AT2G27180,AT3G11690,1,0,0,0,2,Alyrata_AL172U10020
AT2G27180,AT3G11690,1,0,0,0,2,Alyrata_AL4G20930
AT2G27210,AT4G03080,2,1,2,2,2,Alyrata_AL4G21120
AT2G27210,AT4G03080,2,1,2,2,2,Crubella_Carub.0004s0780
AT2G27260,AT3G52460,1,1,4,4,2,Alyrata_AL4G21170
AT2G27300,AT3G44290,1,0,0,0,0,Crubella_Carub.0004s0793
AT2G27370,AT3G11550,1,0,0,0,0,Alyrata_AL4G21320
AT2G27410,AT2G31420,3,0,0,0,0,Alyrata_AL4G27540
AT2G27420,AT2G34080,2,0,0,0,0,Alyrata_AL4G21360
AT2G27480,AT5G04170,1,0,1,1,1,Alyrata_AL4G21470
AT2G27520,AT3G17490,1,0,0,0,0,Alyrata_AL4G21440
AT2G27520,AT3G17490,1,0,0,0,0,Alyrata_AL4G22750
AT2G27570,AT1G18590,14,0,2,9,0,Athaliana_AT3G45080
AT2G27580,AT2G36320,1,0,0,0,0,Alyrata_AL5G38340
AT2G27580,AT2G36320,1,0,0,0,0,Alyrata_AL4G22820
AT2G27610,AT4G13650,3,3,4,3,4,Crubella_Carub.0004s0827
AT2G27610,AT4G13650,3,3,4,3,4,Alyrata_AL4G22790
AT2G27660,AT2G42060,2,2,1,1,1,Alyrata_AL4G22710
AT2G27690,AT3G48520,1,0,2,2,3,Alyrata_AL4G22660
AT2G27690,AT3G48520,1,0,2,2,3,Alyrata_AL345U10010
AT2G27700,AT1G76810,1,0,0,0,0,Smelongena_SMEL_000g022630.1
AT2G27700,AT1G76810,1,0,0,0,0,Brapa_Brara.B03317
AT2G27700,AT1G76810,1,0,0,0,0,Crubella_Carub.0002s2361
AT2G27740,AT3G52900,1,0,2,0,0,Alyrata_AL4G22560
AT2G27820,AT5G22630,2,0,0,0,0,Alyrata_AL4G22440
AT2G27840,AT3G44750,1,0,0,0,0,Alyrata_AL4G22390
AT2G27880,AT5G43810,2,4,4,5,5,Alyrata_AL4G22360
AT2G27980,AT2G37520,2,1,2,3,2,Alyrata_AL4G22220
AT2G28090,AT5G60800,1,0,0,0,0,Alyrata_AL4G22070
