,Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
2706,AT3G01070,Unmethylated,AT5G15350,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2707,AT3G01050,Unclassified,AT5G15460,gbM,wgd,Undetermined,gbM-Unclassified
2708,AT3G01040,gbM,AT5G15470,gbM,wgd,Same,gbM-gbM
2709,AT3G01015,Unmethylated,AT5G15510,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2710,AT3G02080,Unmethylated,AT5G15520,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2711,AT3G02160,Unclassified,AT5G15570,gbM,wgd,Undetermined,gbM-Unclassified
2712,AT3G02170,gbM,AT5G15580,Unclassified,wgd,Undetermined,gbM-Unclassified
2713,AT3G02180,Unmethylated,AT5G15600,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2714,AT3G02200,gbM,AT5G15610,gbM,wgd,Same,gbM-gbM
2715,AT3G02230,Unmethylated,AT5G15650,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2716,AT3G02250,Unclassified,AT5G15740,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2717,AT3G02290,gbM,AT5G15790,gbM,wgd,Same,gbM-gbM
2718,AT3G02310,Unmethylated,AT5G15800,Unclassified,wgd,Undetermined,NA
2719,AT3G02320,gbM,AT5G15810,gbM,wgd,Same,gbM-gbM
2720,AT3G02340,Unmethylated,AT5G15820,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2721,AT3G02380,Unmethylated,AT5G15840,Unclassified,wgd,Undetermined,NA
2722,AT3G02410,Unmethylated,AT5G15860,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2723,AT3G02440,Unmethylated,AT5G15890,gbM,wgd,Different,NA
2724,AT3G02460,Unclassified,AT5G15930,gbM,wgd,Undetermined,gbM-Unclassified
2725,AT3G02470,Unclassified,AT5G15950,Unmethylated,wgd,Undetermined,NA
2726,AT3G02480,Unmethylated,AT5G15960,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2727,AT3G02490,Unclassified,AT5G15980,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2728,AT3G02493,Unmethylated,AT5G16023,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2729,AT3G02500,Unmethylated,AT5G16030,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2730,AT3G02510,gbM,AT5G16040,gbM,wgd,Same,gbM-gbM
2731,AT3G02520,Unmethylated,AT5G16050,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2732,AT3G02530,gbM,AT5G16070,gbM,wgd,Same,gbM-gbM
2733,AT3G02555,Unmethylated,AT5G16110,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2734,AT3G02560,Unmethylated,AT5G16130,Unclassified,wgd,Undetermined,NA
2735,AT3G02610,Unmethylated,AT5G16230,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2736,AT3G02630,Unclassified,AT5G16240,Unmethylated,wgd,Undetermined,NA
2737,AT3G02640,Unmethylated,AT5G16250,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2738,AT3G02700,Unclassified,AT5G16330,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2739,AT3G02730,Unclassified,AT5G16400,Unmethylated,wgd,Undetermined,NA
2740,AT3G02770,Unmethylated,AT5G16450,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2741,AT3G02790,Unmethylated,AT5G16470,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2742,AT3G02800,Unclassified,AT5G16480,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2743,AT3G02810,Unclassified,AT5G16500,Unmethylated,wgd,Undetermined,NA
2744,AT3G02830,Unmethylated,AT5G16540,Unclassified,wgd,Undetermined,NA
2745,AT3G02880,Unmethylated,AT5G16590,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2746,AT3G02900,Unmethylated,AT5G16660,Unclassified,wgd,Undetermined,NA
2747,AT3G02930,Unclassified,AT5G16730,gbM,wgd,Undetermined,gbM-Unclassified
2748,AT3G02940,Unclassified,AT5G16770,Unmethylated,wgd,Undetermined,NA
2749,AT3G02950,Unclassified,AT5G16790,Unmethylated,wgd,Undetermined,NA
2750,AT3G02980,Unmethylated,AT5G16800,gbM,wgd,Different,NA
2751,AT3G02990,Unclassified,AT5G16820,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2752,AT3G03010,Unmethylated,AT5G16870,Unclassified,wgd,Undetermined,NA
2753,AT3G03050,gbM,AT5G16910,gbM,wgd,Same,gbM-gbM
2754,AT3G03060,gbM,AT5G16930,gbM,wgd,Same,gbM-gbM
2755,AT3G03080,Unmethylated,AT5G16960,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2756,AT3G03090,gbM,AT5G17010,gbM,wgd,Same,gbM-gbM
2757,AT3G03110,gbM,AT5G17020,gbM,wgd,Same,gbM-gbM
2758,AT3G03120,Unclassified,AT5G17060,gbM,wgd,Undetermined,gbM-Unclassified
2759,AT3G03130,Unmethylated,AT5G17160,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2760,AT3G03150,Unmethylated,AT5G17165,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2761,AT3G03160,Unmethylated,AT5G17190,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2762,AT3G03190,Unmethylated,AT5G17220,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2763,AT3G03200,Unmethylated,AT5G17260,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2764,AT3G03250,Unclassified,AT5G17310,Unmethylated,wgd,Undetermined,NA
2765,AT3G03260,Unmethylated,AT5G17320,teM,wgd,Different,NA
2766,AT3G03272,Unmethylated,AT5G17340,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2767,AT3G03280,Unmethylated,AT5G17350,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2768,AT3G03290,Unmethylated,AT5G17390,gbM,wgd,Different,NA
2769,AT3G03340,Unclassified,AT5G17440,gbM,wgd,Undetermined,gbM-Unclassified
2770,AT3G03400,Unmethylated,AT5G17470,teM,wgd,Different,NA
2771,AT3G03430,Unmethylated,AT5G17480,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2772,AT3G03450,Unmethylated,AT5G17490,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2773,AT3G03460,Unmethylated,AT5G17510,Unclassified,wgd,Undetermined,NA
2774,AT3G03480,Unmethylated,AT5G17540,Unclassified,wgd,Undetermined,NA
2775,AT3G03490,Unclassified,AT5G17550,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2776,AT3G03500,Unmethylated,AT5G17570,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2777,AT3G03510,Unclassified,AT5G17580,gbM,wgd,Undetermined,gbM-Unclassified
2778,AT3G03550,Unmethylated,AT5G17600,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2779,AT3G03620,teM,AT5G17700,Unclassified,wgd,Undetermined,teM-Unclassified
2780,AT3G03660,Unmethylated,AT5G17810,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2781,AT3G03670,Unmethylated,AT5G17820,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2782,AT3G03700,Unmethylated,AT5G17830,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2783,AT3G03780,Unmethylated,AT5G17920,Unclassified,wgd,Undetermined,NA
2784,AT3G03820,Unmethylated,AT5G18010,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2785,AT3G03860,Unclassified,AT5G18120,Unmethylated,wgd,Undetermined,NA
2786,AT3G03870,Unmethylated,AT5G18130,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2787,AT3G03910,Unmethylated,AT5G18170,Unclassified,wgd,Undetermined,NA
2788,AT3G03920,Unmethylated,AT5G18180,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2789,AT3G03940,gbM,AT5G18190,gbM,wgd,Same,gbM-gbM
2790,AT3G03980,Unmethylated,AT5G18210,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2791,AT3G04010,Unmethylated,AT5G18220,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2792,AT3G04030,Unmethylated,AT5G18240,Unclassified,wgd,Undetermined,NA
2793,AT3G04040,Unmethylated,AT5G18250,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2794,AT3G04060,Unmethylated,AT5G18270,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2795,AT3G04080,Unclassified,AT5G18280,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2796,AT3G04090,Unmethylated,AT5G18290,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2797,AT3G04210,Unmethylated,AT5G18350,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2798,AT3G04230,Unmethylated,AT5G18380,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2799,AT3G04350,gbM,AT5G18490,Unclassified,wgd,Undetermined,gbM-Unclassified
2800,AT3G06410,Unmethylated,AT5G18550,Unclassified,wgd,Undetermined,NA
2801,AT3G06400,gbM,AT5G18620,gbM,wgd,Same,gbM-gbM
2802,AT3G06380,Unmethylated,AT5G18680,Unclassified,wgd,Undetermined,NA
2803,AT3G06360,Unmethylated,AT5G18690,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2804,AT3G06340,Unclassified,AT5G18720,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2805,AT3G06330,Unclassified,AT5G18760,gbM,wgd,Undetermined,gbM-Unclassified
2806,AT3G06320,Unmethylated,AT5G18790,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2807,AT3G06310,Unmethylated,AT5G18800,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2808,AT3G06300,Unmethylated,AT5G18900,gbM,wgd,Different,NA
2809,AT3G06250,gbM,AT5G18960,gbM,wgd,Same,gbM-gbM
2810,AT3G06210,Unclassified,AT5G18980,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2811,AT3G06190,Unclassified,AT5G19000,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2812,AT3G06180,Unmethylated,AT5G19025,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2813,AT3G06150,Unclassified,AT5G19060,Unmethylated,wgd,Undetermined,NA
2814,AT3G06140,Unclassified,AT5G19080,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2815,AT3G06130,Unmethylated,AT5G19090,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2816,AT3G06080,Unmethylated,AT5G19160,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2817,AT3G06070,Unmethylated,AT5G19190,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2818,AT3G06060,Unclassified,AT5G19200,Unmethylated,wgd,Undetermined,NA
2819,AT3G06035,Unmethylated,AT5G19230,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2820,AT3G06020,Unmethylated,AT5G19260,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2821,AT3G06010,gbM,AT5G19310,gbM,wgd,Same,gbM-gbM
2822,AT3G05980,Unmethylated,AT5G19340,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2823,AT3G42180,Unmethylated,AT5G20260,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2824,AT3G42670,gbM,AT5G20420,Unclassified,wgd,Undetermined,gbM-Unclassified
2825,AT3G42790,Unmethylated,AT5G20510,Unclassified,wgd,Undetermined,NA
2826,AT3G42830,Unmethylated,AT5G20570,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2827,AT3G42880,gbM,AT5G20690,Unmethylated,wgd,Different,NA
2828,AT3G43110,Unmethylated,AT5G20790,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2829,AT3G43120,Unclassified,AT5G20810,Unmethylated,wgd,Undetermined,NA
2830,AT3G43190,Unclassified,AT5G20830,Unmethylated,wgd,Undetermined,NA
2831,AT3G43220,gbM,AT5G20840,gbM,wgd,Same,gbM-gbM
2832,AT3G43430,Unclassified,AT5G20885,Unmethylated,wgd,Undetermined,NA
2833,AT3G43440,gbM,AT5G20900,Unmethylated,wgd,Different,NA
2834,AT3G43600,gbM,AT5G20960,gbM,wgd,Same,gbM-gbM
2835,AT3G43700,Unclassified,AT5G21010,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2836,AT3G43740,Unclassified,AT5G21090,Unmethylated,wgd,Undetermined,NA
2837,AT3G43850,Unmethylated,AT5G21940,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2838,AT3G44110,Unmethylated,AT5G22060,Unclassified,wgd,Undetermined,NA
2839,AT3G44190,gbM,AT5G22140,Unclassified,wgd,Undetermined,gbM-Unclassified
2840,AT3G44230,teM,AT5G22160,Unmethylated,wgd,Different,NA
2841,AT3G44260,Unmethylated,AT5G22250,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2842,AT3G44280,Unclassified,AT5G22280,Unmethylated,wgd,Undetermined,NA
2843,AT3G44290,Unclassified,AT5G22290,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2844,AT3G44300,Unmethylated,AT5G22300,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2845,AT3G44350,Unmethylated,AT5G22380,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2846,AT3G44510,Unclassified,AT5G22460,Unmethylated,wgd,Undetermined,NA
2847,AT3G44540,Unclassified,AT5G22500,Unmethylated,wgd,Undetermined,NA
2848,AT3G44695,Unmethylated,AT5G22540,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2849,AT3G44720,Unmethylated,AT5G22630,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2850,AT3G44750,Unmethylated,AT5G22650,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2851,AT3G44850,gbM,AT5G22840,gbM,wgd,Same,gbM-gbM
2852,AT3G44900,gbM,AT5G22900,Unmethylated,wgd,Different,NA
2853,AT3G44940,Unmethylated,AT5G22930,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2854,AT3G45000,Unmethylated,AT5G22950,Unclassified,wgd,Undetermined,NA
2855,AT3G45010,Unclassified,AT5G22960,Unmethylated,wgd,Undetermined,NA
2856,AT5G08190,Unclassified,AT5G23090,Unmethylated,wgd,Undetermined,NA
2857,AT5G08200,Unclassified,AT5G23130,Unmethylated,wgd,Undetermined,NA
2858,AT5G08230,gbM,AT5G23150,gbM,wgd,Same,gbM-gbM
2859,AT5G08240,Unmethylated,AT5G23160,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2860,AT5G08250,Unclassified,AT5G23190,Unmethylated,wgd,Undetermined,NA
2861,AT5G08270,Unclassified,AT5G23200,Unmethylated,wgd,Undetermined,NA
2862,AT5G08300,Unclassified,AT5G23250,Unmethylated,wgd,Undetermined,NA
2863,AT5G08330,Unmethylated,AT5G23280,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2864,AT5G08335,gbM,AT5G23320,Unmethylated,wgd,Different,NA
2865,AT5G08340,gbM,AT5G23330,Unclassified,wgd,Undetermined,gbM-Unclassified
2866,AT5G08350,Unmethylated,AT5G23350,Unclassified,wgd,Undetermined,NA
2867,AT5G08360,Unmethylated,AT5G23380,Unclassified,wgd,Undetermined,NA
2868,AT5G08390,gbM,AT5G23430,gbM,wgd,Same,gbM-gbM
2869,AT5G08410,Unmethylated,AT5G23440,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2870,AT5G08430,gbM,AT5G23480,Unmethylated,wgd,Different,NA
2871,AT5G08440,gbM,AT5G23490,gbM,wgd,Same,gbM-gbM
2872,AT5G08500,gbM,AT5G23575,Unclassified,wgd,Undetermined,gbM-Unclassified
2873,AT3G48740,Unmethylated,AT5G23660,teM,wgd,Different,NA
2874,AT3G48780,gbM,AT5G23670,Unclassified,wgd,Undetermined,gbM-Unclassified
2875,AT3G48800,Unmethylated,AT5G23680,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2876,AT3G48830,gbM,AT5G23690,Unclassified,wgd,Undetermined,gbM-Unclassified
2877,AT3G48860,gbM,AT5G23700,Unmethylated,wgd,Different,NA
2878,AT3G48930,Unmethylated,AT5G23740,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2879,AT3G48940,Unmethylated,AT5G23750,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2880,AT3G48980,Unclassified,AT5G23850,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2881,AT3G49140,Unmethylated,AT5G24060,Unclassified,wgd,Undetermined,NA
2882,AT3G49290,Unclassified,AT5G24310,gbM,wgd,Undetermined,gbM-Unclassified
2883,AT3G49330,Unclassified,AT5G24370,Unmethylated,wgd,Undetermined,NA
2884,AT3G49350,gbM,AT5G24390,Unmethylated,wgd,Different,NA
2885,AT3G49360,Unmethylated,AT5G24400,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2886,AT3G49370,Unclassified,AT5G24430,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2887,AT3G49390,gbM,AT5G24440,Unmethylated,wgd,Different,NA
2888,AT3G49410,gbM,AT5G24450,gbM,wgd,Same,gbM-gbM
2889,AT3G49530,Unmethylated,AT5G24590,Unclassified,wgd,Undetermined,NA
2890,AT3G49550,Unmethylated,AT5G24610,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2891,AT3G49560,Unmethylated,AT5G24650,Unclassified,wgd,Undetermined,NA
2892,AT3G49570,Unmethylated,AT5G24655,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2893,AT4G31330,Unmethylated,AT5G24790,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2894,AT5G10580,Unmethylated,AT5G24790,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2895,AT4G31380,Unmethylated,AT5G24860,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2896,AT5G10625,Unmethylated,AT5G24860,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2897,AT4G31450,Unmethylated,AT5G24870,Unclassified,wgd,Undetermined,NA
2898,AT5G10650,Unmethylated,AT5G24870,Unclassified,wgd,Undetermined,NA
2899,AT5G10660,teM,AT5G24880,Unmethylated,wgd,Different,NA
2900,AT4G31510,Unmethylated,AT5G24890,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2901,AT4G31730,Unmethylated,AT5G24920,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2902,AT2G24762,Unmethylated,AT5G24920,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2903,AT2G24790,Unmethylated,AT5G24930,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2904,AT4G31750,gbM,AT5G24940,gbM,wgd,Same,gbM-gbM
2905,AT5G10740,Unmethylated,AT5G24940,gbM,wgd,Different,NA
2906,AT5G10745,Unmethylated,AT5G24980,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2907,AT5G10750,Unmethylated,AT5G24990,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2908,AT5G10800,Unclassified,AT5G25060,gbM,wgd,Undetermined,gbM-Unclassified
2909,AT4G31840,Unmethylated,AT5G25090,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2910,AT2G25060,Unmethylated,AT5G25090,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2911,AT5G10840,gbM,AT5G25100,gbM,wgd,Same,gbM-gbM
2912,AT5G10930,Unmethylated,AT5G25110,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2913,AT2G25090,Unmethylated,AT5G25110,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2914,AT5G10970,gbM,AT5G25160,Unmethylated,wgd,Different,NA
2915,AT2G25190,Unmethylated,AT5G25170,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2916,AT4G32030,Unmethylated,AT5G25210,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2917,AT5G11060,Unmethylated,AT5G25220,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2918,AT4G32040,Unmethylated,AT5G25220,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2919,AT2G25260,Unmethylated,AT5G25265,Unclassified,wgd,Undetermined,NA
2920,AT5G11090,Unmethylated,AT5G25280,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2921,AT4G32270,Unmethylated,AT5G25340,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2922,AT4G32342,Unmethylated,AT5G25360,Unclassified,wgd,Undetermined,NA
2923,AT5G11190,Unmethylated,AT5G25390,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2924,AT5G11230,Unmethylated,AT5G25400,Unclassified,wgd,Undetermined,NA
2925,AT4G32390,Unmethylated,AT5G25400,Unclassified,wgd,Undetermined,NA
2926,AT4G32470,Unmethylated,AT5G25450,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2927,AT5G11420,Unmethylated,AT5G25460,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2928,AT5G11430,Unclassified,AT5G25520,gbM,wgd,Undetermined,gbM-Unclassified
2929,AT5G11440,Unclassified,AT5G25540,Unmethylated,wgd,Undetermined,NA
2930,AT5G11590,Unmethylated,AT5G25810,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2931,AT5G11610,Unmethylated,AT5G25820,Unclassified,wgd,Undetermined,NA
2932,AT5G11670,Unclassified,AT5G25880,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2933,AT5G11730,gbM,AT5G25970,Unclassified,wgd,Undetermined,gbM-Unclassified
2934,AT3G05960,Unmethylated,AT5G26250,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2935,AT3G05858,Unmethylated,AT5G26620,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2936,AT3G05870,Unmethylated,AT5G26640,teM,wgd,Different,NA
2937,AT3G05910,Unclassified,AT5G26670,gbM,wgd,Undetermined,gbM-Unclassified
2938,AT3G05920,Unmethylated,AT5G26690,Unclassified,wgd,Undetermined,NA
2939,AT3G05930,Unclassified,AT5G26700,teM,wgd,Undetermined,teM-Unclassified
2940,AT3G05935,Unmethylated,AT5G26720,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2941,AT3G05940,Unclassified,AT5G26740,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2942,AT3G05840,gbM,AT5G26751,Unmethylated,wgd,Different,NA
2943,AT3G05830,Unmethylated,AT5G26770,gbM,wgd,Different,NA
2944,AT3G05810,Unmethylated,AT5G26800,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2945,AT3G05780,Unmethylated,AT5G26860,gbM,wgd,Different,NA
2946,AT3G05750,gbM,AT5G26910,gbM,wgd,Same,gbM-gbM
2947,AT3G05710,Unclassified,AT5G26980,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2948,AT3G05700,Unclassified,AT5G26990,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2949,AT3G05650,Unmethylated,AT5G27060,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2950,AT3G05030,Unclassified,AT5G27150,gbM,wgd,Undetermined,gbM-Unclassified
2951,AT3G05110,Unmethylated,AT5G27240,gbM,wgd,Different,NA
2952,AT3G05120,gbM,AT5G27320,Unclassified,wgd,Undetermined,gbM-Unclassified
2953,AT3G05130,gbM,AT5G27330,Unclassified,wgd,Undetermined,gbM-Unclassified
2954,AT3G05155,Unmethylated,AT5G27350,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2955,AT3G05200,Unmethylated,AT5G27420,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2956,AT3G05230,Unmethylated,AT5G27430,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2957,AT3G05280,gbM,AT5G27490,Unclassified,wgd,Undetermined,gbM-Unclassified
2958,AT3G05290,Unclassified,AT5G27520,gbM,wgd,Undetermined,gbM-Unclassified
2959,AT3G05310,Unclassified,AT5G27540,gbM,wgd,Undetermined,gbM-Unclassified
2960,AT3G05380,gbM,AT5G27610,gbM,wgd,Same,gbM-gbM
2961,AT3G05420,gbM,AT5G27630,Unclassified,wgd,Undetermined,gbM-Unclassified
2962,AT3G05430,Unmethylated,AT5G27650,gbM,wgd,Different,NA
2963,AT3G05550,Unmethylated,AT5G27760,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2964,AT3G05560,Unmethylated,AT5G27770,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2965,AT3G05580,Unmethylated,AT5G27840,gbM,wgd,Different,NA
2966,AT3G05590,Unmethylated,AT5G27850,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2967,AT3G05610,Unmethylated,AT5G27870,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2968,AT3G05640,Unclassified,AT5G27930,gbM,wgd,Undetermined,gbM-Unclassified
2969,AT3G04940,Unmethylated,AT5G28020,gbM,wgd,Different,NA
2970,AT3G04930,Unmethylated,AT5G28040,Unclassified,wgd,Undetermined,NA
2971,AT3G04920,Unmethylated,AT5G28060,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2972,AT3G04910,Unclassified,AT5G28080,gbM,wgd,Undetermined,gbM-Unclassified
2973,AT3G04860,Unmethylated,AT5G28150,gbM,wgd,Different,NA
2974,AT3G04830,Unmethylated,AT5G28220,gbM,wgd,Different,NA
2975,AT3G04810,gbM,AT5G28290,gbM,wgd,Same,gbM-gbM
2976,AT3G04510,Unmethylated,AT5G28490,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2977,AT3G04550,Unmethylated,AT5G28500,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2978,AT3G04590,Unclassified,AT5G28590,teM,wgd,Undetermined,teM-Unclassified
2979,AT3G04630,Unmethylated,AT5G28646,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2980,AT3G04670,gbM,AT5G28650,Unmethylated,wgd,Different,NA
2981,AT3G04690,Unclassified,AT5G28680,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2982,AT3G04700,gbM,AT5G28690,gbM,wgd,Same,gbM-gbM
2983,AT1G66070,Unclassified,AT5G37475,gbM,wgd,Undetermined,gbM-Unclassified
2984,AT1G66160,Unmethylated,AT5G37490,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2985,AT1G66180,Unmethylated,AT5G37540,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2986,AT1G66190,Unmethylated,AT5G37550,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2987,AT1G66200,Unmethylated,AT5G37600,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2988,AT1G66260,Unclassified,AT5G37720,gbM,wgd,Undetermined,gbM-Unclassified
2989,AT1G66360,Unmethylated,AT5G37740,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2990,AT1G66400,Unmethylated,AT5G37770,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2991,AT1G66410,gbM,AT5G37780,Unclassified,wgd,Undetermined,gbM-Unclassified
2992,AT1G66460,Unmethylated,AT5G37790,Unclassified,wgd,Undetermined,NA
2993,AT1G66470,Unmethylated,AT5G37800,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2994,AT1G66480,Unmethylated,AT5G37840,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2995,AT1G66610,Unmethylated,AT5G37870,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2996,AT1G66690,Unclassified,AT5G37970,Unmethylated,wgd,Undetermined,NA
2997,AT1G66740,Unmethylated,AT5G38110,Unmethylated,wgd,Same,Unmethylated-Unmethylated
2998,AT1G66840,Unclassified,AT5G38150,gbM,wgd,Undetermined,gbM-Unclassified
2999,AT1G66850,Unmethylated,AT5G38160,Unmethylated,wgd,Same,Unmethylated-Unmethylated
3000,AT1G66860,Unmethylated,AT5G38200,Unmethylated,wgd,Same,Unmethylated-Unmethylated
3001,AT1G66880,Unclassified,AT5G38210,Unclassified,wgd,Undetermined,Unclassified-Unclassified
